date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2022-09-30,sh.688137,82.0000,89.6900,73.8800,75.5100,10177348,810167175.8800,3,62.575700,-28.891600
2022-10-31,sh.688137,76.2700,89.8000,62.6400,74.7800,39094568,3001349377.9700,3,240.374000,-0.966800
2022-11-30,sh.688137,76.1800,119.4600,74.7000,113.8000,52224943,5372143871.6600,3,321.106500,52.179700
2022-12-30,sh.688137,112.9000,112.9000,73.3500,76.0000,32286160,2826144220.0600,3,198.512500,-33.216200
2023-01-31,sh.688137,75.9900,91.7500,75.5000,83.3000,13145515,1109447850.3600,3,80.825400,9.605300
2023-02-28,sh.688137,83.2600,87.7600,76.9000,77.8800,11345017,945510496.7100,3,69.755100,-6.506600
2023-03-31,sh.688137,78.0000,81.5000,66.2600,66.9800,12298912,902199634.1600,3,75.141700,-13.995900
2023-04-28,sh.688137,66.8500,75.3000,62.2000,66.0300,13943017,971518708.7500,3,82.119900,-1.418300
2023-05-31,sh.688137,66.7800,66.7800,55.0000,56.4500,7931704,461728175.4400,3,46.715200,-14.508600
2023-06-30,sh.688137,56.1000,59.5500,49.6800,51.4800,6599764,355608456.5700,3,38.870600,-7.890600
2023-07-31,sh.688137,51.3000,56.5000,51.2500,53.7400,6111955,325267786.5900,3,35.997700,4.390100
2023-08-31,sh.688137,53.7400,61.4000,46.4900,51.5000,22373775,1229735793.6900,3,131.703000,-4.168200
2023-09-28,sh.688137,51.2500,51.8500,48.1300,50.0300,6591844,331906922.9400,3,38.675300,-2.854400
2023-10-31,sh.688137,51.6000,54.6000,45.7200,53.6000,9281837,470840138.6000,3,34.169400,7.135700
2023-11-30,sh.688137,55.0000,60.5000,50.3800,54.9900,16855660,925408278.0400,3,62.051300,2.593300
2023-12-29,sh.688137,54.8600,57.5100,52.0800,55.4800,9043222,491399602.6700,3,32.823800,0.891100
2024-01-31,sh.688137,55.7100,56.1900,37.8000,38.0300,6462209,302521550.4500,3,21.873100,-31.452800
2024-02-29,sh.688137,38.4600,41.9600,30.6700,37.5300,6185841,227042808.9900,3,20.937700,-1.314800
2024-03-29,sh.688137,37.6300,40.3300,36.3900,37.1300,6670138,253669732.1700,3,22.577000,-1.065800
2024-04-30,sh.688137,37.1800,38.0000,30.8000,35.9600,6071713,208203675.5300,3,20.519500,-3.151100
2024-05-31,sh.688137,35.9600,44.4400,34.8200,35.9200,18347450,728555310.3900,3,61.785200,-0.111200
2024-06-28,sh.688137,36.0900,36.6600,31.2000,32.1000,4828637,164722693.7500,3,16.034200,-10.634700
2024-07-31,sh.688137,31.8700,32.9800,29.4000,31.2500,3662988,112543174.9100,3,11.336600,-2.648000
2024-08-30,sh.688137,30.9500,32.1100,28.5600,29.8000,3798824,116678736.4000,3,11.830500,-3.089400
2024-09-30,sh.688137,29.7800,37.2800,29.1000,36.9800,4362412,143550116.0900,3,13.476500,24.094000
2024-10-31,sh.688137,42.6100,43.4100,33.3300,34.7600,13701004,498519411.7100,3,41.930400,-6.003200
2024-11-29,sh.688137,34.7900,40.8000,33.5200,36.2500,12852285,471884986.1900,3,39.333200,4.286500
2024-12-31,sh.688137,36.3400,38.5000,33.1500,33.2000,7272524,262291399.5100,3,22.257000,-8.413800
2025-01-27,sh.688137,33.0000,33.8800,31.0100,31.2600,3999275,128613525.6400,3,12.239400,-5.843400
2025-02-28,sh.688137,31.4000,36.1500,31.1400,33.5900,10078872,344426506.0800,3,30.845400,7.453600
2025-03-31,sh.688137,33.8300,36.6000,33.6000,34.2900,10981946,386145566.5900,3,33.609300,2.084000
2025-04-30,sh.688137,34.3800,35.5900,28.6700,32.7500,9862919,319835688.3700,3,30.184600,-4.491100
2025-05-30,sh.688137,33.2000,37.8800,32.7200,36.1800,17261982,604951699.1500,3,52.828600,10.473300
2025-06-30,sh.688137,36.0900,39.6800,34.7500,38.3000,20814276,773317459.3300,3,63.699900,5.859600
2025-07-31,sh.688137,38.8800,50.8700,38.0900,45.2500,54281254,2417187847.7000,3,166.122400,18.146200
2025-08-29,sh.688137,45.2500,49.3000,41.0000,42.7700,25255465,1162213514.8500,3,77.291700,-5.480700
2025-09-30,sh.688137,42.6100,44.5500,39.4300,43.2900,13055678,556335039.3200,3,39.955500,1.215800
2025-10-31,sh.688137,43.1600,45.5500,40.4000,44.8400,8842017,378273132.6200,3,27.060400,3.580500
