date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2020-12-18,sh.600419,15.3000,16.8500,15.3000,16.2400,66550226,1077697069.5600,3,24.776900,6.771861
2020-12-25,sh.600419,16.0900,16.8800,14.8600,14.9400,54113286,872672913.7200,3,20.146500,-8.004926
2020-12-31,sh.600419,14.9500,15.3500,14.5000,14.5900,22991156,339767818.0000,3,8.559700,-2.342704
2021-01-08,sh.600419,14.5900,18.5500,14.4000,16.8500,137463320,2408125211.0700,3,51.177900,15.490062
2021-01-15,sh.600419,16.5500,17.3600,15.3300,15.7800,69852609,1148299153.0400,3,26.006300,-6.350148
2021-01-22,sh.600419,15.8100,16.7900,15.7500,16.0600,45484743,742715804.0000,3,16.934100,1.774398
2021-01-29,sh.600419,16.0000,16.2900,14.5000,14.9000,33403935,514997343.3000,3,12.436500,-7.222914
2021-02-05,sh.600419,14.9000,15.5000,14.5000,15.0900,24740637,368573791.0000,3,9.211000,1.275168
2021-02-10,sh.600419,15.0000,15.3500,14.6300,15.2400,13007397,194926973.8900,3,4.842600,0.994036
2021-02-19,sh.600419,15.3000,16.4900,15.1200,16.4000,17027110,269332359.0000,3,6.339200,7.611549
2021-02-26,sh.600419,16.3100,16.3200,15.0200,15.0300,27667841,435693508.8300,3,10.300800,-8.353659
2021-03-05,sh.600419,15.0400,15.6200,15.0400,15.5600,17255734,264402732.0000,3,6.424300,3.526281
2021-03-12,sh.600419,15.6000,15.7300,14.4300,14.6900,16274910,242365356.0000,3,6.059200,-5.591260
2021-03-19,sh.600419,14.6000,15.2100,14.4700,14.7900,18274670,271550751.0000,3,6.803700,0.680735
2021-03-26,sh.600419,14.7500,15.4500,14.7400,15.3300,17395864,263610311.1600,3,6.476500,3.651116
2021-04-02,sh.600419,14.7000,14.8500,13.8100,14.1300,30378171,431427024.0000,3,11.309800,-7.827789
2021-04-09,sh.600419,14.2000,14.4400,13.8500,13.9500,14869859,210582081.0000,3,5.536100,-1.273885
2021-04-16,sh.600419,13.9500,14.2700,13.5400,14.1300,19164159,266635851.0000,3,7.134800,1.290323
2021-04-23,sh.600419,14.0700,14.3900,13.9000,13.9200,19356022,273911062.3200,3,7.206200,-1.486200
2021-04-30,sh.600419,13.9200,14.5500,13.5800,13.8400,22967825,322257380.0200,3,8.550900,-0.574700
2021-05-07,sh.600419,13.8000,13.8500,13.6000,13.6500,5356074,73557784.8600,3,1.994100,-1.372800
2021-05-14,sh.600419,13.6500,13.9600,13.1400,13.9100,17352158,234591429.2500,3,6.460200,1.904800
2021-05-21,sh.600419,13.8700,13.9700,13.6000,13.8100,11765084,161884860.1200,3,4.380100,-0.718900
2021-05-28,sh.600419,13.8500,14.1800,13.6700,13.9300,15710834,219939559.2700,3,5.849200,0.868900
2021-06-04,sh.600419,13.8600,14.4100,13.6500,13.7600,26441155,369380019.5500,3,9.844200,-1.220400
2021-06-11,sh.600419,13.7600,13.8000,13.2100,13.2600,18759243,253626942.7500,3,6.984200,-2.473600
