date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2024-11-28,sz.300173,8.0000,9.1100,8.0000,8.8800,7.5900,291956008,2579828047.4500,3,39.736700,1,16.996000,0
2024-11-29,sz.300173,8.3000,8.7700,7.7700,8.4400,8.8800,257709966,2116439872.9900,3,35.075700,1,-4.955000,0
2024-12-02,sz.300173,8.1000,8.6400,8.0200,8.1800,8.4400,177940516,1459131520.1900,3,24.218600,1,-3.080600,0
2024-12-03,sz.300173,8.0900,9.5600,8.0800,8.5800,8.1800,199532956,1745743607.0900,3,27.157500,1,4.890000,0
2024-12-04,sz.300173,8.2300,8.4000,7.9500,8.0700,8.5800,137007162,1115944757.2300,3,18.647400,1,-5.944100,0
2024-12-05,sz.300173,7.9600,8.4900,7.8500,8.2800,8.0700,116139734,950301290.8500,3,15.807200,1,2.602200,0
2024-12-06,sz.300173,8.2800,8.3300,8.0400,8.1700,8.2800,87823373,717190647.5700,3,11.953200,1,-1.328500,0
2024-12-09,sz.300173,6.5500,7.3300,6.5500,6.8700,8.1700,169884358,1182843463.9500,3,23.122100,1,-15.911900,0
2024-12-10,sz.300173,7.0900,7.5000,6.9600,7.0600,6.8700,124168646,888601528.5200,3,16.900000,1,2.765600,0
2024-12-11,sz.300173,6.9500,7.0600,6.7200,6.9200,7.0600,91875057,630845865.5500,3,12.504700,1,-1.983000,0
2024-12-12,sz.300173,6.8400,6.9600,6.6600,6.9600,6.9200,83294506,566005738.9800,3,11.336800,1,0.578000,0
2024-12-13,sz.300173,6.8600,6.9500,6.6600,6.6700,6.9600,65449679,441490705.1000,3,8.908000,1,-4.166700,0
2024-12-16,sz.300173,6.7300,6.7900,6.4700,6.5300,6.6700,55403700,365369281.0000,3,7.540700,1,-2.099000,0
2024-12-17,sz.300173,6.5000,6.5300,6.2100,6.2500,6.5300,52462393,330734649.7600,3,7.140400,1,-4.287900,0
2024-12-18,sz.300173,6.2200,6.3400,6.0700,6.2300,6.2500,46727102,290540957.4400,3,6.359800,1,-0.320000,0
2024-12-19,sz.300173,6.1200,6.2900,6.1200,6.2500,6.2300,35929003,223607175.7500,3,4.890100,1,0.321000,0
2024-12-20,sz.300173,6.3200,6.5400,6.2800,6.4500,6.2500,65860200,423131242.0000,3,8.963900,1,3.200000,0
2024-12-23,sz.300173,6.4000,6.4300,5.9500,5.9900,6.4500,56187507,345088460.5700,3,7.647400,1,-7.131800,0
2024-12-24,sz.300173,5.9500,6.0700,5.7500,5.9000,5.9900,47647534,279817497.2000,3,6.485100,1,-1.502500,0
2024-12-25,sz.300173,5.8500,5.9100,5.4800,5.6100,5.9000,52803601,296457503.8200,3,7.186800,1,-4.915300,0
2024-12-26,sz.300173,5.6000,5.7200,5.5800,5.6500,5.6100,28255800,159893235.0000,3,3.845800,1,0.713000,0
2024-12-27,sz.300173,5.6900,5.9300,5.6000,5.7800,5.6500,39081700,227576762.0000,3,5.319200,1,2.300900,0
2024-12-30,sz.300173,5.7000,5.8200,5.5300,5.6700,5.7800,28376347,160734339.0800,3,3.862200,1,-1.903100,0
2024-12-31,sz.300173,5.7200,5.9400,5.5800,5.6500,5.6700,48667400,279639195.7200,3,6.623900,1,-0.352700,0
2025-01-02,sz.300173,5.6600,5.7800,5.4200,5.5200,5.6500,40399400,225708655.0000,3,5.498600,1,-2.300900,0
2025-01-03,sz.300173,5.5500,5.6000,5.0800,5.1100,5.5200,45852300,241232086.0000,3,6.240700,1,-7.427500,0
2025-01-06,sz.300173,5.0700,5.1300,4.8300,5.0500,5.1100,33213500,166922603.0000,3,4.520500,1,-1.174200,0
2025-01-07,sz.300173,5.1000,5.3000,5.0500,5.3000,5.0500,32908100,171023040.0000,3,4.479000,1,4.950500,0
2025-01-08,sz.300173,5.2800,5.4600,5.1100,5.3600,5.3000,37183000,196507606.0000,3,5.060800,1,1.132100,0
2025-01-09,sz.300173,5.3000,5.4600,5.3000,5.4100,5.3600,29329800,158611652.0000,3,3.991900,1,0.932800,0
2025-01-10,sz.300173,5.4000,5.4600,5.1500,5.1700,5.4100,30175300,159849696.0000,3,4.107000,1,-4.436200,0
2025-01-13,sz.300173,5.0500,5.2700,4.9300,5.2200,5.1700,24866303,127728561.5100,3,3.384400,1,0.967100,0
2025-01-14,sz.300173,5.3400,5.9000,5.2200,5.8500,5.2200,72645399,409340883.4800,3,9.887400,1,12.069000,0
2025-01-15,sz.300173,5.8200,5.8900,5.6900,5.7800,5.8500,50609400,292156892.0000,3,6.888200,1,-1.196600,0
2025-01-16,sz.300173,5.8200,5.9200,5.7000,5.7700,5.7800,47642899,276665862.2700,3,6.484400,1,-0.173000,0
2025-01-17,sz.300173,5.7100,5.7600,5.5900,5.6400,5.7700,33717500,190760608.0000,3,4.589100,1,-2.253000,0
2025-01-20,sz.300173,5.6900,5.7500,5.5700,5.6900,5.6400,26272193,149141745.3800,3,3.575800,1,0.886500,0
2025-01-21,sz.300173,5.7500,5.7600,5.4800,5.5600,5.6900,26573800,148363915.0000,3,3.616800,1,-2.284700,0
2025-01-22,sz.300173,5.4900,5.5700,5.4300,5.4800,5.5600,21578400,118181963.0000,3,2.936900,1,-1.438800,0
2025-01-23,sz.300173,5.5600,5.6800,5.3800,5.3800,5.4800,34816428,193148736.2000,3,4.738700,1,-1.824800,0
2025-01-24,sz.300173,5.5400,6.1800,5.5300,6.0800,5.3800,118814194,708413981.4400,3,16.171200,1,13.011200,0
2025-01-27,sz.300173,6.0500,6.0800,5.7600,5.8800,6.0800,68735934,405640336.3900,3,9.355300,1,-3.289500,0
2025-02-05,sz.300173,5.9800,6.0500,5.8100,5.9600,5.8800,50677498,301738987.3600,3,6.897500,1,1.360500,0
2025-02-06,sz.300173,5.9500,6.1900,5.9000,6.1800,5.9600,67692200,412067119.9400,3,9.213300,1,3.691300,0
2025-02-07,sz.300173,6.1500,6.3000,6.0600,6.1900,6.1800,79152999,488949555.7800,3,10.773100,1,0.161800,0
2025-02-10,sz.300173,6.1700,6.3300,6.0800,6.2900,6.1900,66751889,414055984.7800,3,9.085300,1,1.615500,0
2025-02-11,sz.300173,6.2300,6.2600,6.0800,6.1200,6.2900,47292814,289783447.6200,3,6.436800,1,-2.702700,0
2025-02-12,sz.300173,6.0800,6.8300,6.0700,6.5300,6.1200,100421094,653518337.9500,3,13.667800,1,6.699300,0
2025-02-13,sz.300173,6.4600,7.3500,6.4100,6.9600,6.5300,154913260,1079378688.0100,3,21.084500,1,6.585000,0
2025-02-14,sz.300173,6.8000,7.3000,6.7200,6.9400,6.9600,116447903,811473914.5300,3,15.849200,1,-0.287400,0
2025-02-17,sz.300173,6.8000,6.9600,6.6300,6.9300,6.9400,86789289,590746138.7400,3,11.812500,1,-0.144100,0
2025-02-18,sz.300173,6.9500,7.8000,6.9300,7.2100,6.9300,153397717,1129298970.0400,3,20.878200,1,4.040400,0
2025-02-19,sz.300173,7.0000,7.4900,6.7600,7.3600,7.2100,118590137,852668979.6900,3,16.140700,1,2.080400,0
2025-02-20,sz.300173,7.2100,7.2400,7.0200,7.1300,7.3600,87325447,620757197.3500,3,11.885400,1,-3.125000,0
2025-02-21,sz.300173,7.0800,7.2500,6.9500,7.1400,7.1300,86855193,618011910.7900,3,11.821400,1,0.140300,0
2025-02-24,sz.300173,7.0800,7.0800,6.7600,6.8000,7.1400,75910282,523449452.1300,3,10.331800,1,-4.761900,0
2025-02-25,sz.300173,6.7000,6.9500,6.6300,6.7500,6.8000,50011035,341289520.5700,3,6.806800,1,-0.735300,0
2025-02-26,sz.300173,6.8600,7.2100,6.8100,6.9800,6.7500,70050035,492348863.6500,3,9.534200,1,3.407400,0
2025-02-27,sz.300173,7.0800,7.5600,7.0500,7.4600,6.9800,155660241,1147110249.3700,3,21.186200,1,6.876800,0
2025-02-28,sz.300173,7.4000,7.5900,6.8000,6.9300,7.4600,113197824,816640913.6100,3,15.406800,1,-7.104600,0
2025-03-03,sz.300173,6.8800,7.8700,6.8800,7.7800,6.9300,190088805,1441811546.4100,3,25.872100,1,12.265500,0
2025-03-04,sz.300173,7.4000,7.5400,7.0900,7.4800,7.7800,137041964,1000890491.1800,3,18.652100,1,-3.856000,0
2025-03-05,sz.300173,7.3200,7.3900,7.1600,7.2700,7.4800,73573117,532275137.0000,3,10.013700,1,-2.807500,0
2025-03-06,sz.300173,7.3200,7.6500,7.2500,7.5000,7.2700,100858506,746975797.6200,3,13.727400,1,3.163700,0
2025-03-07,sz.300173,7.3800,7.3800,7.1100,7.2000,7.5000,76659200,555226895.8300,3,10.433700,1,-4.000000,0
2025-03-10,sz.300173,7.1400,7.2300,7.0000,7.0600,7.2000,48898010,346702150.4000,3,6.655300,1,-1.944400,0
2025-03-11,sz.300173,6.9000,7.0100,6.8000,6.9400,7.0600,49677206,342537938.4600,3,6.761300,1,-1.699700,0
2025-03-12,sz.300173,6.9400,7.2400,6.9300,7.1100,6.9400,53920257,384046500.1000,3,7.338800,1,2.449600,0
2025-03-13,sz.300173,7.0500,7.0800,6.7500,6.8300,7.1100,47982553,328973574.9800,3,6.530700,1,-3.938100,0
2025-03-14,sz.300173,6.7700,6.8600,6.4800,6.8300,6.8300,50952354,341226425.4800,3,6.934900,1,0.000000,0
2025-03-17,sz.300173,6.8600,6.9400,6.7900,6.7900,6.8300,33992171,233396579.4800,3,4.626500,1,-0.585700,0
2025-03-18,sz.300173,6.7400,7.2300,6.7400,6.9600,6.7900,51508800,361107138.0000,3,7.010600,1,2.503700,0
2025-03-19,sz.300173,6.9000,6.9200,6.7700,6.7900,6.9600,35237751,240294013.1000,3,4.796000,1,-2.442500,0
2025-03-20,sz.300173,6.8100,6.8400,6.6300,6.6600,6.7900,32427578,217206966.3100,3,4.413600,1,-1.914600,0
2025-03-21,sz.300173,6.6700,6.6800,6.4200,6.4700,6.6600,31771941,206975256.4100,3,4.324300,1,-2.852900,0
2025-03-24,sz.300173,6.4500,6.4500,5.9900,6.1600,6.4700,47837939,295371246.2400,3,6.511000,1,-4.791300,0
2025-03-25,sz.300173,6.1800,6.1900,5.9700,6.0000,6.1600,29308200,177484416.0000,3,3.989000,1,-2.597400,0
2025-03-26,sz.300173,5.9700,6.1500,5.9700,6.0600,6.0000,22707017,138140523.5300,3,3.090500,1,1.000000,0
2025-03-27,sz.300173,6.0500,6.1200,5.9300,5.9900,6.0600,22034100,132728849.0000,3,2.999000,1,-1.155100,0
2025-03-28,sz.300173,5.9800,6.0600,5.9300,5.9300,5.9900,20608900,123155026.0000,3,2.805000,1,-1.001700,0
2025-03-31,sz.300173,5.9100,5.9100,5.7000,5.8300,5.9300,24987612,144600236.8800,3,3.400900,1,-1.686300,0
2025-04-01,sz.300173,5.8900,6.0200,5.8600,5.9200,5.8300,21278211,126418926.8900,3,2.896100,1,1.543700,0
2025-04-02,sz.300173,5.9200,6.0300,5.8700,5.9000,5.9200,18773100,111753726.8800,3,2.555100,1,-0.337800,0
2025-04-03,sz.300173,5.8000,5.9400,5.7600,5.8400,5.9000,16279511,95025473.3500,3,2.215700,1,-1.016900,0
2025-04-07,sz.300173,5.4000,5.4800,4.6700,4.6900,5.8400,50716118,252606890.2800,3,6.902700,1,-19.691800,0
2025-04-08,sz.300173,4.8000,5.1100,4.8000,4.9700,4.6900,43012700,213540300.0000,3,5.854300,1,5.970100,0
2025-04-09,sz.300173,4.9000,5.1600,4.4700,5.1100,4.9700,45377400,221167425.0000,3,6.176100,1,2.816900,0
2025-04-10,sz.300173,5.2700,5.3900,5.2200,5.2300,5.1100,37234500,197061392.0000,3,5.067800,1,2.348300,0
2025-04-11,sz.300173,5.1500,5.2900,5.1200,5.2700,5.2300,25039900,131309967.0000,3,3.408100,1,0.764800,0
2025-04-14,sz.300173,5.3600,5.4700,5.3300,5.3700,5.2700,25996000,140310778.0000,3,3.538200,1,1.897500,0
2025-04-15,sz.300173,5.3700,5.6400,5.3500,5.4500,5.3700,45214050,248415989.0000,3,6.153900,1,1.489800,0
2025-04-16,sz.300173,5.4000,5.4500,5.1700,5.2800,5.4500,29557450,156496262.5000,3,4.022900,1,-3.119300,0
