date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2020-12-11,sh.601137,12.3400,12.4000,11.0400,11.2000,30869661,361835698.3500,3,4.287300,-9.311741
2020-12-18,sh.601137,11.1900,11.7600,11.0100,11.6500,22092940,251102258.7700,3,3.068200,4.017857
2020-12-25,sh.601137,11.6700,12.4900,11.4100,12.3000,58958908,709925383.0000,3,8.188400,5.579399
2020-12-31,sh.601137,12.2500,12.5500,11.2800,11.4800,46466885,546784207.0000,3,6.453500,-6.666667
2021-01-08,sh.601137,11.5200,13.4300,11.5200,13.3900,134639606,1710860694.6100,3,18.699100,16.637631
2021-01-15,sh.601137,13.1800,13.5300,11.3700,11.7000,88021780,1110394610.8800,3,12.224800,-12.621359
2021-01-22,sh.601137,11.5900,11.9200,11.2400,11.2800,68286561,790100724.0000,3,9.483900,-3.589744
2021-01-29,sh.601137,11.2100,11.2200,9.8000,9.9900,56580382,592121727.1800,3,7.858100,-11.436170
2021-02-05,sh.601137,9.9800,10.1400,9.1000,9.3100,36319836,351401241.0000,3,5.044200,-6.806807
2021-02-10,sh.601137,9.3000,10.4300,9.1500,10.2000,29286246,293303134.7400,3,4.067400,9.559613
2021-02-19,sh.601137,10.4000,10.9000,10.4000,10.7800,20543614,219827780.0000,3,2.853200,5.686275
2021-02-26,sh.601137,10.8800,11.4500,10.5800,10.6500,55673205,620475038.2100,3,7.732100,-1.205937
2021-03-05,sh.601137,10.6500,11.2400,10.6500,10.8700,29901944,327337584.0000,3,4.152900,2.065728
2021-03-12,sh.601137,10.9100,11.0800,10.2800,10.6600,27309884,290872848.0000,3,3.792800,-1.931923
2021-03-19,sh.601137,10.6900,11.8900,10.6200,11.8000,64160150,736885536.0000,3,8.910700,10.694184
2021-03-26,sh.601137,11.8500,11.8500,10.6600,10.9100,33683433,378463658.4800,3,4.678100,-7.542373
2021-04-02,sh.601137,10.9300,10.9400,10.4500,10.6900,19730451,210545796.0000,3,2.740200,-2.016499
2021-04-09,sh.601137,10.7400,11.1800,10.7400,10.8300,20738429,227014710.0000,3,2.880300,1.309635
2021-04-16,sh.601137,10.8200,10.8900,9.9100,10.3900,21435236,219764514.0000,3,2.976900,-4.062789
2021-04-23,sh.601137,10.3900,10.7000,10.2500,10.3500,17949355,188250818.4700,3,2.492900,-0.385000
2021-04-30,sh.601137,10.3700,10.9600,10.2600,10.8600,27235524,288168107.7400,3,3.782600,4.927500
