date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2020-12-25,sh.600583,4.4600,4.5000,4.2600,4.4100,84266047,369614506.8300,3,1.905900,-1.562500
2020-12-31,sh.600583,4.3900,4.5300,4.3200,4.4900,66461630,292730543.0000,3,1.503200,1.814059
2021-01-08,sh.600583,4.4900,4.6200,4.4200,4.4900,129063884,581364477.8200,3,2.919100,0.000000
2021-01-15,sh.600583,4.5000,4.7400,4.4000,4.6200,145677293,667601965.9800,3,3.294800,2.895323
2021-01-22,sh.600583,4.5700,4.6300,4.3600,4.4000,96298752,436126441.0000,3,2.178100,-4.761905
2021-01-29,sh.600583,4.3500,4.4300,4.2200,4.2300,67206554,290367851.6100,3,1.520100,-3.863636
2021-02-05,sh.600583,4.2200,4.9500,4.2000,4.5900,209366194,953793871.0000,3,4.735400,8.510638
2021-02-10,sh.600583,4.6800,4.9200,4.5400,4.8000,161285565,773024227.9400,3,3.647900,4.575163
2021-02-19,sh.600583,5.1200,5.1800,4.9000,5.0300,168415886,850376192.0000,3,3.809100,4.791667
2021-02-26,sh.600583,5.0400,5.2700,4.8200,4.9000,299751184,1523033794.4900,3,6.779600,-2.584493
2021-03-05,sh.600583,4.9500,5.0600,4.7400,4.9100,187191560,913217591.0000,3,4.233800,0.204082
2021-03-12,sh.600583,5.0500,5.0800,4.6200,4.9600,197104495,956691631.0000,3,4.458000,1.018330
2021-03-19,sh.600583,4.9400,5.0300,4.7100,4.7900,127102052,618251349.0000,3,2.874600,-3.427419
2021-03-26,sh.600583,4.8100,4.9100,4.3900,4.4200,190918210,876291450.4400,3,4.318100,-7.724426
2021-04-02,sh.600583,4.4500,4.5900,4.3800,4.4400,173601971,775071334.0000,3,3.926500,0.452489
2021-04-09,sh.600583,4.4100,4.4500,4.3800,4.4000,77342965,341771371.0000,3,1.749300,-0.900901
2021-04-16,sh.600583,4.4000,4.4600,4.3200,4.4500,92991733,406923539.0000,3,2.103100,1.136364
2021-04-23,sh.600583,4.4400,4.4500,4.3000,4.3100,76218123,333706402.1300,3,1.723900,-3.146100
2021-04-30,sh.600583,4.3300,4.3800,4.3000,4.3500,65998823,286332230.1600,3,1.492800,0.928100
2021-05-07,sh.600583,4.3900,4.5000,4.3700,4.4700,60876532,270670581.9500,3,1.376900,2.758600
2021-05-14,sh.600583,4.5100,4.6100,4.4500,4.5000,123919904,560399108.2300,3,2.802800,0.671100
2021-05-21,sh.600583,4.5200,4.5800,4.3700,4.4200,102596335,459489170.9400,3,2.320500,-1.777800
2021-05-28,sh.600583,4.4300,4.5100,4.4100,4.4200,69798385,310352949.9000,3,1.578700,0.000000
2021-06-04,sh.600583,4.4300,4.5600,4.3800,4.4700,104701480,468161483.8400,3,2.368200,1.131200
2021-06-11,sh.600583,4.4900,4.6500,4.4200,4.6200,137594710,624348230.2100,3,3.112100,3.355700
2021-06-18,sh.600583,4.5800,4.6700,4.4100,4.4500,132310489,600214119.6600,3,2.992500,-2.197800
2021-06-25,sh.600583,4.4400,4.6500,4.4100,4.6200,125604946,572990871.8500,3,2.841000,3.820200
2021-07-02,sh.600583,4.6500,4.6500,4.4600,4.4800,81388634,368819062.8200,3,1.840800,-3.030300
2021-07-09,sh.600583,4.4700,4.5600,4.3600,4.4000,89879542,399867059.8300,3,2.032800,-1.785700
2021-07-16,sh.600583,4.4200,4.4500,4.2900,4.3100,96237757,420204867.5000,3,2.176600,-2.045500
2021-07-23,sh.600583,4.3100,4.3100,4.1900,4.2300,93420381,395445416.5700,3,2.112900,-1.856100
2021-07-30,sh.600583,4.2300,4.2400,4.0800,4.1200,81492991,337593408.1000,3,1.843200,-2.600500
2021-08-06,sh.600583,4.1200,4.1900,4.0800,4.1500,55816465,231076692.2200,3,1.262500,0.728200
2021-08-13,sh.600583,4.1300,4.2600,4.1300,4.2200,55069017,231750634.2200,3,1.245500,1.686700
2021-08-20,sh.600583,4.2200,4.2600,4.1300,4.2300,67884338,285494948.7900,3,1.535500,0.237000
2021-08-27,sh.600583,4.2300,4.4400,4.2300,4.4200,120307980,523634393.7500,3,2.721000,4.491700
2021-09-03,sh.600583,4.4300,4.6600,4.4300,4.5700,171848828,779217274.5200,3,3.886900,3.393700
2021-09-10,sh.600583,4.5700,5.1400,4.5700,4.8200,294186718,1427484639.2700,3,6.653700,5.470500
2021-09-17,sh.600583,4.8800,5.2900,4.8400,5.1000,408433593,2082726306.0900,3,9.237700,5.809100
2021-09-24,sh.600583,4.9800,5.3800,4.8900,5.0200,166789316,852423060.1200,3,3.772300,-1.568600
2021-09-30,sh.600583,5.0300,5.3500,4.6500,4.7900,313586427,1565088955.4200,3,7.092500,-4.581700
2021-10-08,sh.600583,4.9800,5.2700,4.9800,5.1800,120959797,625817630.9400,3,2.735800,8.142000
2021-10-15,sh.600583,5.1800,5.2100,4.5800,4.7600,261064265,1279518715.4900,3,5.904700,-8.108100
