date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2021-03-31,sh.688316,76.0000,98.0000,59.5600,59.6000,30772666,2351063548.5600,3,284.008200,-6.436421
2021-04-30,sh.688316,59.6000,66.6600,54.2100,54.4600,10464698,637358055.4200,3,96.581300,-8.624200
2021-05-31,sh.688316,55.1000,73.7400,53.0000,73.7400,6101757,361314900.1100,3,56.314400,35.402100
2021-06-30,sh.688316,87.8000,106.1900,68.1200,71.5000,28866018,2419031481.6800,3,266.411300,-3.037700
2021-07-30,sh.688316,72.5800,74.0300,60.3500,65.4700,10055638,678296781.7200,3,92.806000,-8.433600
2021-08-31,sh.688316,66.7400,89.7100,62.0000,64.0700,15376523,1129181202.7900,3,141.913800,-2.138400
2021-09-30,sh.688316,63.0500,66.6600,55.0100,56.7200,7610049,467011939.5800,3,68.722500,-11.471800
2021-10-29,sh.688316,57.4400,61.8900,47.7400,48.2700,5348811,299641653.6800,3,46.919700,-14.897700
2021-11-30,sh.688316,49.3500,59.5600,47.3000,57.4700,6616365,357371273.7500,3,58.038200,19.059500
2021-12-31,sh.688316,58.1400,60.7900,49.1600,50.1500,6791065,360355479.4000,3,59.570900,-12.737100
2022-01-28,sh.688316,50.4000,70.8000,48.2300,50.8400,16678575,957088022.8700,3,146.303400,1.375900
2022-02-28,sh.688316,52.0200,55.6600,46.0200,49.0000,9501480,473592097.4800,3,83.346400,-3.619200
2022-03-31,sh.688316,48.9900,51.4200,38.8800,39.3100,9015899,401320077.2500,3,56.564800,-19.775500
2022-04-29,sh.688316,39.2200,41.4800,28.0000,30.7500,4574458,160886523.1400,3,13.067300,-21.775600
2022-05-31,sh.688316,30.9200,34.6000,30.0100,33.3800,4219602,136480225.3000,3,12.053800,8.552800
2022-06-30,sh.688316,33.7300,41.7400,33.3900,36.0600,7818207,288657089.3600,3,22.333500,8.028800
2022-07-29,sh.688316,36.2900,36.5800,32.2600,34.9100,4646914,160611380.9100,3,13.274500,-3.189100
2022-08-31,sh.688316,34.1200,37.8800,30.0000,31.2300,7105986,241601875.5400,3,20.298900,-10.541400
2022-09-30,sh.688316,31.2300,32.3900,26.4500,27.4800,6367576,186386428.9700,3,18.189800,-12.007700
2022-10-31,sh.688316,27.4800,36.5000,25.6600,31.6600,16259722,499922070.2300,3,46.447500,15.211100
2022-11-30,sh.688316,32.2500,38.1000,27.3800,32.0200,16912511,576246416.4500,3,48.312100,1.137100
2022-12-30,sh.688316,32.3800,35.6800,27.9200,28.2400,7706025,243688172.0300,3,22.013200,-11.805100
2023-01-31,sh.688316,28.2700,33.1200,28.2100,32.0600,7030657,215243013.3600,3,20.083600,13.526900
2023-02-28,sh.688316,32.0600,53.9900,32.0000,39.2900,56015993,2435505980.3500,3,160.015000,22.551500
2023-03-31,sh.688316,39.0000,81.9900,39.0000,66.0800,69497764,3937972413.4700,3,195.993600,68.185300
2023-04-28,sh.688316,67.5000,78.2900,50.0100,52.8400,63722052,3949244321.7800,3,178.960700,-20.036300
2023-05-31,sh.688316,53.3100,59.7200,46.5100,55.4600,43571168,2256646887.1400,3,122.368000,4.958400
2023-06-30,sh.688316,53.7300,72.8500,48.6700,49.6500,76353674,4614593736.3500,3,214.207600,-10.476000
2023-07-31,sh.688316,48.8400,53.1000,43.6000,44.2500,27682087,1326338512.0000,3,77.043300,-10.876100
2023-08-31,sh.688316,44.5500,69.5500,42.1200,64.9500,56998730,3022476934.1000,3,158.635800,46.779700
2023-09-28,sh.688316,64.2000,65.3300,51.0000,55.8700,52412417,3010579807.8300,3,145.871500,-13.980000
2023-10-31,sh.688316,55.0000,59.7000,46.9900,53.8000,40479944,2161178853.3600,3,112.661600,-3.705000
2023-11-30,sh.688316,57.0000,67.0000,52.6200,54.3100,92854836,5532261753.5100,3,258.428900,0.948000
2023-12-29,sh.688316,54.3100,57.3700,48.0300,51.7900,33464628,1779216443.3100,3,93.137000,-4.640000
2024-01-31,sh.688316,51.9900,54.1500,35.6700,35.6800,26261533,1207391880.7100,3,73.089700,-31.106400
2024-02-29,sh.688316,35.5000,42.8000,24.1000,37.6800,36283949,1236055424.8800,3,100.983800,5.605400
2024-03-29,sh.688316,37.7500,47.5600,36.0900,39.0900,46820522,1912065142.9700,3,130.308400,3.742000
2024-04-30,sh.688316,39.5300,40.0600,27.8800,38.2500,23676055,802622315.9800,3,65.893900,-2.148900
2024-05-31,sh.688316,38.7000,40.6900,32.5600,35.1000,13592618,502844192.4500,3,37.830200,-8.235300
2024-06-28,sh.688316,35.5000,36.5000,28.5100,29.9100,14740381,464240048.9300,3,41.024500,-14.786300
2024-07-31,sh.688316,29.9300,30.7700,26.2600,28.2600,12720570,361062330.6600,3,35.403200,-5.516500
2024-08-30,sh.688316,28.1500,28.7900,24.1300,26.0000,11716387,308599765.6600,3,32.604800,-7.997200
2024-09-30,sh.688316,25.8000,33.3500,22.4100,33.3500,16799042,434001694.9900,3,46.747500,28.269200
2024-10-31,sh.688316,39.9800,43.2800,31.0000,39.9900,39708939,1427974226.0200,3,110.499700,19.910000
2024-11-29,sh.688316,39.4800,49.1700,34.5700,38.3800,52584882,2159498913.8100,3,146.302000,-4.026000
2024-12-31,sh.688316,38.5000,42.3700,33.3500,33.5000,36807243,1426324511.0800,3,102.401000,-12.715000
2025-01-27,sh.688316,33.3300,35.9200,28.3200,34.0700,19843595,634404626.8900,3,55.206500,1.701500
2025-02-28,sh.688316,40.8800,115.3100,40.8800,81.5100,143669627,13357748920.6000,3,399.701500,139.242700
2025-03-31,sh.688316,81.6000,83.8700,64.3800,67.6900,81120047,6157287484.9000,3,225.683200,-16.955000
2025-04-30,sh.688316,67.0300,67.6000,46.0000,56.3800,48881548,2726992526.7600,3,135.992900,-16.708500
2025-05-30,sh.688316,56.6000,63.0000,48.8000,49.2300,47156588,2641744648.5100,3,131.193800,-12.681800
2025-06-30,sh.688316,49.1300,71.4000,48.8200,63.3700,117618490,7486336111.5800,3,327.225000,28.722300
2025-07-31,sh.688316,65.8000,85.7000,58.0800,79.1700,116123747,8343223618.4800,3,242.938300,24.932900
2025-08-29,sh.688316,79.3600,85.9800,73.2100,75.1300,92474425,7321322478.0100,3,193.167600,-5.102900
2025-09-30,sh.688316,75.0700,76.8800,66.0500,66.4700,53728421,3789692146.7800,3,112.172200,-11.526700
2025-10-31,sh.688316,66.7500,67.5200,60.0200,64.2900,26979377,1696019490.6700,3,56.326600,-3.279700
2025-11-28,sh.688316,65.0000,72.1300,58.5800,63.7700,53568320,3477481153.8900,3,111.838100,-0.808800
