date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2020-12-18,sz.002537,7.4800,8.1400,7.0600,7.9000,209042943,1599683736.6900,3,16.887900,6.325707
2020-12-25,sz.002537,7.8200,7.9800,7.1000,7.1400,199324146,1513896658.7000,3,16.102600,-9.620253
2020-12-31,sz.002537,7.2600,8.0500,6.8900,7.3600,267767559,1991586992.0000,3,21.632000,3.081232
2021-01-08,sz.002537,7.3000,7.6000,6.1500,6.2900,230322086,1581411363.7800,3,18.606800,-14.538043
2021-01-15,sz.002537,6.2200,6.3300,5.6000,5.8400,102164943,604222356.0500,3,8.253600,-7.154213
2021-01-22,sz.002537,5.7700,6.1800,5.7000,5.8300,82993695,489999861.0000,3,6.704800,-0.171233
2021-01-29,sz.002537,5.8700,5.9000,5.2600,5.3600,70466078,393622893.9400,3,5.692700,-8.061750
2021-02-05,sz.002537,5.3200,5.4900,5.0100,5.0500,54511443,287653152.0000,3,4.403700,-5.783582
2021-02-10,sz.002537,5.1000,5.6600,4.9900,5.6000,47792972,256745647.8600,3,3.860900,10.891089
2021-02-19,sz.002537,5.8500,6.0600,5.7100,5.8800,47205602,277190596.0000,3,3.813500,5.000000
2021-02-26,sz.002537,5.9400,6.0400,5.5600,5.6600,99544542,580989737.6400,3,8.041900,-3.741497
2021-03-05,sz.002537,5.7000,5.7900,5.5300,5.6800,106457065,603053122.0000,3,8.600400,0.353357
2021-03-12,sz.002537,5.6900,5.7500,5.1200,5.3600,87577902,469564935.0000,3,7.075100,-5.633803
2021-03-19,sz.002537,5.3700,5.5900,5.2300,5.3000,78730990,424632049.0000,3,6.360400,-1.119403
2021-03-26,sz.002537,5.3000,6.4600,5.2600,6.2200,262045575,1561464771.8200,3,21.169700,17.358491
2021-04-02,sz.002537,6.2200,6.7300,5.9500,6.1900,266345606,1665333808.0000,3,21.517100,-0.482315
2021-04-09,sz.002537,6.1000,6.1500,5.7100,5.7700,132038545,780949098.0000,3,10.666900,-6.785137
2021-04-16,sz.002537,5.8100,6.4200,5.6500,6.3400,287666429,1742078935.0000,3,23.239500,9.878683
2021-04-23,sz.002537,6.2500,6.3800,5.8000,5.8100,215499639,1324312356.8500,3,17.409300,-8.359600
2021-04-30,sz.002537,5.8000,6.7400,5.7600,6.6400,339789077,2165535352.6900,3,27.450300,14.285700
2021-05-07,sz.002537,6.5800,6.9500,6.4000,6.6600,164440272,1103380329.3900,3,13.284500,0.301200
2021-05-14,sz.002537,6.7800,7.1500,6.3600,7.0100,377004852,2562270658.8000,3,30.456800,5.255300
2021-05-21,sz.002537,6.8400,6.8800,6.0900,6.2000,281796281,1834805465.8200,3,22.765400,-11.554900
2021-05-28,sz.002537,6.1300,6.2700,5.8300,5.9100,155393307,949933769.0900,3,12.553600,-4.677400
2021-06-04,sz.002537,5.8700,6.0500,5.6900,5.7100,104265666,611610593.8600,3,8.423200,-3.384100
2021-06-11,sz.002537,5.7400,6.0400,5.6700,5.9300,99187317,581048105.1400,3,8.012900,3.852900
2021-06-18,sz.002537,5.9100,6.0200,5.5800,5.8500,81100233,472980198.9900,3,6.551700,-1.349100
2021-06-25,sz.002537,5.8200,6.0000,5.3900,5.4400,104455837,594441318.6300,3,8.438500,-7.008500
2021-07-02,sz.002537,5.4400,5.5300,5.2700,5.2800,60280493,326067360.2900,3,5.088800,-2.941200
2021-07-09,sz.002537,5.2800,5.4300,5.2300,5.3200,67869051,361194413.0300,3,5.781300,0.757600
2021-07-16,sz.002537,5.3500,5.7500,5.3400,5.4700,112594422,626220188.0500,3,9.591000,2.819500
2021-07-23,sz.002537,5.5000,5.6900,5.4100,5.4900,87116728,485535041.5100,3,7.420800,0.365600
2021-07-30,sz.002537,5.4900,5.4900,5.0400,5.2200,64040167,336301375.7000,3,5.455000,-4.918000
2021-08-06,sz.002537,5.2500,5.4600,5.1700,5.4100,60461542,323661253.5500,3,5.150100,3.639800
2021-08-13,sz.002537,5.4000,5.6700,5.3600,5.5900,80872909,447886969.3700,3,6.889000,3.327200
2021-08-20,sz.002537,5.6700,5.9200,5.4600,5.6200,160609211,912208119.0700,3,13.681000,0.536700
2021-08-27,sz.002537,5.6000,5.7500,5.3200,5.4000,115673380,642705740.1100,3,9.853400,-3.914600
2021-09-03,sz.002537,5.4100,5.8600,5.4100,5.7000,160152622,908177866.3500,3,13.642200,5.555600
2021-09-10,sz.002537,5.6700,6.2000,5.6700,6.0000,177985787,1064234418.4800,3,15.161400,5.263200
2021-09-17,sz.002537,5.9500,6.0300,5.5300,5.6700,100412417,585963625.5900,3,8.553300,-5.500000
2021-09-24,sz.002537,5.5600,5.7600,5.5000,5.5300,59055143,330941128.5500,3,5.030400,-2.469100
2021-09-30,sz.002537,5.5300,5.5700,5.1400,5.2100,66448304,352325834.1500,3,5.660100,-5.786600
2021-10-08,sz.002537,5.3500,5.5500,5.3200,5.4300,24415741,132666962.0500,3,2.079800,4.222600
2021-10-15,sz.002537,5.4600,5.6100,5.1300,5.4000,133030562,713788311.2400,3,11.331900,-0.552500
2021-10-22,sz.002537,5.4300,5.6100,5.2800,5.3000,127624795,689774598.6100,3,10.871400,-1.851900
2021-10-29,sz.002537,5.2600,5.7400,5.1500,5.5900,146952572,797188548.6000,3,12.517800,5.471700
2021-11-05,sz.002537,5.5500,5.8200,5.5000,5.7300,177809147,1003333514.7800,3,15.146100,2.504500
2021-11-12,sz.002537,5.7100,6.0900,5.6000,5.9900,194224966,1133044295.0100,3,16.544500,4.537500
2021-11-19,sz.002537,6.0900,6.1100,5.8000,5.9300,167433758,1002902423.0900,3,14.262500,-1.001700
2021-11-26,sz.002537,5.9100,6.3400,5.7200,6.3400,163533669,977748088.6900,3,13.930200,6.914000
2021-12-03,sz.002537,6.9600,7.9300,6.7200,7.1100,956409274,7096980198.3300,3,81.469200,12.145100
2021-12-10,sz.002537,6.9500,7.0800,6.5700,6.7700,488558879,3314072763.9600,3,41.616600,-4.782000
2021-12-17,sz.002537,6.8200,7.5500,6.7500,7.1100,572881853,4103257392.0000,3,48.799400,5.022200
2021-12-24,sz.002537,7.0600,8.0000,6.7500,6.7500,532372615,3919115590.8000,3,45.348800,-5.063300
2021-12-31,sz.002537,6.7100,7.4000,6.6300,7.1000,294206242,2090671318.7800,3,25.061100,5.185200
2022-01-07,sz.002537,7.1100,7.8700,7.0800,7.2600,349742286,2594801727.8900,3,29.791900,2.253500
2022-01-14,sz.002537,7.1200,8.9500,6.9500,8.3700,720327212,5717426829.2900,3,61.359200,15.289300
2022-01-21,sz.002537,8.6200,9.4400,7.9100,8.4900,903760675,7793627366.9800,3,76.984400,1.433700
2022-01-28,sz.002537,8.2700,8.9200,7.3800,7.6600,556584462,4480943211.6900,3,47.411200,-9.776200
2022-02-11,sz.002537,7.8800,9.6000,7.3000,9.0100,674915472,5870785865.2700,3,57.490800,17.624000
2022-02-18,sz.002537,8.5600,9.8500,8.2900,8.7000,808565558,7372792495.1000,3,68.875500,-3.440600
2022-02-25,sz.002537,8.6000,8.9800,7.5900,7.8500,447948071,3737063378.1300,3,38.157300,-9.770100
2022-03-04,sz.002537,8.6400,11.3800,8.6400,9.5900,1171689914,11888323936.0000,3,99.807300,22.165600
2022-03-11,sz.002537,9.3500,10.5900,8.2200,10.1000,874921888,8341075312.0000,3,74.527900,5.318000
2022-03-18,sz.002537,9.8300,12.0600,8.9100,12.0600,1011224102,10469573146.3000,3,86.138500,19.405900
2022-03-25,sz.002537,11.8500,13.3300,10.7200,11.7200,1460006028,17489850904.8300,3,124.366600,-2.819200
2022-04-01,sz.002537,11.2700,13.0300,10.8400,11.6400,1011604454,11963443343.3900,3,86.170800,-0.682600
2022-04-08,sz.002537,11.4900,11.9800,10.6200,11.2000,439113411,4957021987.0000,3,37.404700,-3.780100
2022-04-15,sz.002537,10.9200,11.1100,9.4000,9.4300,497724986,5051252547.5900,3,42.397400,-15.803600
2022-04-22,sz.002537,9.2100,9.5500,7.9700,8.1000,423324215,3767964316.5600,3,36.059800,-14.103900
2022-04-29,sz.002537,7.9200,7.9200,6.6900,7.4400,419994436,3047552191.3700,3,35.776100,-8.148100
2022-05-06,sz.002537,7.5600,7.8600,7.3200,7.6100,167880870,1276718932.5100,3,14.300500,2.284900
2022-05-13,sz.002537,7.5600,8.2500,7.4600,7.8900,412418058,3258077096.5600,3,35.130800,3.679400
2022-05-20,sz.002537,7.9700,8.2700,7.5000,8.0000,367687876,2907007805.5200,3,31.320400,1.394200
2022-05-27,sz.002537,8.0000,8.1300,7.2800,7.6200,299801018,2298623761.7100,3,25.537800,-4.750000
2022-06-02,sz.002537,7.6100,7.7500,7.4000,7.6900,209916015,1594730384.8300,3,17.881200,0.918600
2022-06-10,sz.002537,7.7200,7.9900,7.4500,7.8800,328141366,2544199167.5200,3,27.951800,2.470700
2022-06-17,sz.002537,7.8000,8.8800,7.6600,8.2300,536458483,4416057057.3400,3,45.696800,4.441600
2022-06-24,sz.002537,8.2500,8.7900,7.9400,8.5600,415259345,3456524628.1700,3,35.372700,4.009700
2022-07-01,sz.002537,8.6500,8.6900,8.0700,8.1300,293057727,2452881551.8500,3,24.963300,-5.023400
2022-07-08,sz.002537,8.1000,8.4900,7.9000,8.0700,228294928,1863059702.2500,3,19.446800,-0.738000
2022-07-15,sz.002537,8.0800,8.1100,7.3600,7.3700,148679103,1135467935.1600,3,12.664900,-8.674100
