date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2020-12-25,sz.399311,4922.4369,4986.9730,4888.0534,4956.6372,158012065490,2582242684695.5400,3,3.955038,0.706500
2020-12-31,sz.399311,4958.7944,5108.3656,4932.6594,5105.2803,139075469124,2166150647050.7900,3,3.481960,2.998900
2021-01-08,sz.399311,5113.6356,5391.6355,5093.4129,5349.6317,225771828526,3924695166783.0300,3,5.650915,4.786200
2021-01-15,sz.399311,5356.9174,5455.9832,5224.9085,5294.7991,225827618662,4014028498044.4500,3,5.650551,-1.025000
2021-01-22,sz.399311,5278.1773,5447.5303,5255.2486,5433.3941,192700988485,3457527397970.7900,3,4.792806,2.617600
2021-01-29,sz.399311,5426.8473,5509.6948,5131.0556,5196.7955,180968385444,3415664132365.8000,3,4.480139,-4.354500
2021-02-05,sz.399311,5197.4186,5360.3417,5183.9346,5268.7453,178220758744,3126227744393.6700,3,4.415986,1.384500
2021-02-10,sz.399311,5287.3414,5581.7713,5258.1757,5566.8072,95604830425,1803028610155.2100,3,2.352450,5.657200
2021-02-19,sz.399311,5675.6466,5683.9310,5455.9441,5570.5453,86850067770,1526405428665.7600,3,2.122778,0.067100
2021-02-26,sz.399311,5579.6799,5579.6799,5160.0938,5175.9122,233014593289,3643739388603.1100,3,5.749937,-7.084300
2021-03-05,sz.399311,5224.4915,5298.5620,5046.0197,5127.7338,203906712978,3007526250054.6600,3,5.015477,-0.930800
2021-03-12,sz.399311,5164.5979,5190.4778,4793.6729,5008.1172,204878607789,2904658016639.6200,3,5.025799,-2.332700
2021-03-19,sz.399311,4979.9039,5032.4647,4865.1293,4901.4541,173063640383,2361277953088.2200,3,4.279687,-2.129800
2021-03-26,sz.399311,4903.8221,4965.8960,4784.1909,4933.9424,162552299028,2204397001297.9500,3,4.017959,0.662800
2021-04-02,sz.399311,4947.9640,5057.3835,4907.2406,5046.3775,145272710791,2101630196771.6400,3,3.588294,2.278800
2021-04-09,sz.399311,5062.6097,5066.1515,4940.2252,4954.8941,120639889425,1615704569701.6000,3,2.979396,-1.812900
2021-04-16,sz.399311,4948.8913,4967.1014,4837.6792,4907.7074,139567722316,1950470645880.6300,3,3.446266,-0.952300
2021-04-23,sz.399311,4906.5047,5073.8763,4885.0136,5063.2190,143878430740,2273178783486.3600,3,3.551119,3.168700
2021-04-30,sz.399311,5084.2614,5113.8644,4977.9903,5061.1507,149874923866,2507112626913.0100,3,3.695695,-0.040800
2021-05-07,sz.399311,5046.1131,5075.2001,4949.7343,4949.7858,73084453613,1090297510288.9800,3,1.801296,-2.200400
2021-05-14,sz.399311,4956.5686,5047.7364,4877.7342,5046.1525,176282560389,2420392031090.0400,3,4.342474,1.946900
2021-05-21,sz.399311,5049.6200,5141.0729,5049.6200,5073.4856,153140926447,2410283333631.2300,3,3.766817,0.541700
2021-05-28,sz.399311,5075.3274,5286.6398,5036.7463,5248.4549,170335284410,2813255204435.5300,3,4.184838,3.448700
2021-06-04,sz.399311,5251.0876,5295.2301,5172.3928,5231.1536,166583064589,2746926073577.2000,3,4.085781,-0.329600
2021-06-11,sz.399311,5235.1535,5269.7573,5160.3738,5207.4236,164122948167,2764262777299.8200,3,4.018037,-0.453600
2021-06-18,sz.399311,5203.9922,5209.9504,5052.2752,5104.8437,120973331707,2121446745409.1100,3,2.956582,-1.969900
2021-06-25,sz.399311,5093.3949,5256.2472,5066.0045,5245.4784,159858783291,2887051493925.7800,3,3.890135,2.754900
2021-07-02,sz.399311,5255.7473,5273.1443,5104.0875,5110.3199,147530409055,2774949581402.7800,3,3.584829,-2.576700
2021-07-09,sz.399311,5107.3018,5198.1335,5058.5415,5138.5834,170034267269,3124670487626.6500,3,4.127225,0.553100
2021-07-16,sz.399311,5178.2420,5236.4388,5144.5431,5179.7862,203995584117,3477667721555.1900,3,4.947268,0.801800
2021-07-23,sz.399311,5171.9164,5257.0315,5134.4472,5191.2712,195692029215,3365604911337.2200,3,4.741712,0.221700
