date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2024-12-16,sh.603280,22.5000,23.1500,22.3200,22.7200,22.5000,2623500,59730682.0000,3,9.389200,1,0.977800,0
2024-12-17,sh.603280,22.6200,22.6200,21.5600,21.6600,22.7200,2485593,54673531.1900,3,8.895700,1,-4.665500,0
2024-12-18,sh.603280,21.6800,21.9500,21.3100,21.7100,21.6600,1316886,28537737.9600,3,4.713000,1,0.230800,0
2024-12-19,sh.603280,21.5200,21.9400,21.3500,21.8600,21.7100,1100400,23854612.0000,3,3.938200,1,0.690900,0
2024-12-20,sh.603280,22.0000,22.2200,21.6100,22.0400,21.8600,1075906,23732266.0000,3,3.850500,1,0.823400,0
2024-12-23,sh.603280,22.0400,22.1900,21.0100,21.1100,22.0400,1784616,38251603.1800,3,6.386900,1,-4.219600,0
2024-12-24,sh.603280,21.1000,21.3700,20.7500,21.3200,21.1100,1086500,22934076.0000,3,3.888500,1,0.994800,0
2024-12-25,sh.603280,21.2100,21.2100,20.4300,20.7300,21.3200,1038400,21543011.0000,3,3.716300,1,-2.767400,0
2024-12-26,sh.603280,20.8500,21.4800,20.7400,21.2600,20.7300,1130316,24045673.5200,3,4.045300,1,2.556700,0
2024-12-27,sh.603280,21.2300,21.4800,21.2300,21.3500,21.2600,730500,15622736.0000,3,2.614400,1,0.423300,0
2024-12-30,sh.603280,21.3300,21.3300,20.8000,21.2200,21.3500,714589,15098927.6100,3,2.557400,1,-0.608900,0
2024-12-31,sh.603280,21.2800,21.3600,20.8300,20.8800,21.2200,851526,17900323.1000,3,3.047500,1,-1.602300,0
2025-01-02,sh.603280,20.9000,21.1500,20.2500,20.3800,20.8800,1257426,25958959.1400,3,4.500200,1,-2.394600,0
2025-01-03,sh.603280,20.3800,20.4900,19.5800,19.6200,20.3800,1074400,21424482.0000,3,3.845200,1,-3.729100,0
2025-01-06,sh.603280,19.6500,20.0400,19.2100,19.8600,19.6200,717600,14132595.0000,3,2.568200,1,1.223200,0
2025-01-07,sh.603280,19.8200,20.4000,19.7400,20.3800,19.8600,766110,15426356.0000,3,2.741800,1,2.618300,0
2025-01-08,sh.603280,20.3700,20.4500,19.8500,20.3500,20.3800,728900,14720097.0000,3,2.608600,1,-0.147200,0
2025-01-09,sh.603280,20.2000,20.4800,20.0400,20.3500,20.3500,481926,9814948.6200,3,1.724800,1,0.000000,0
2025-01-10,sh.603280,20.4100,20.6300,19.9700,20.0000,20.3500,612907,12421744.1700,3,2.193500,1,-1.719900,0
2025-01-13,sh.603280,19.7200,20.2000,19.4700,20.0000,20.0000,618600,12294633.0000,3,2.213900,1,0.000000,0
2025-01-14,sh.603280,20.0500,22.0000,20.0500,22.0000,20.0000,4118419,88326708.6000,3,14.739300,1,10.000000,0
2025-01-15,sh.603280,22.0000,22.0500,21.2000,21.5100,22.0000,4252911,91679177.8000,3,15.220700,1,-2.227300,0
2025-01-16,sh.603280,20.8000,21.6500,20.8000,21.2600,21.5100,3055100,64918984.0000,3,10.933900,1,-1.162300,0
2025-01-17,sh.603280,21.1100,21.6800,21.0700,21.3100,21.2600,2401100,51435186.7600,3,8.593300,1,0.235200,0
2025-01-20,sh.603280,21.3300,21.8000,21.1100,21.7600,21.3100,2230005,48099882.3000,3,7.980900,1,2.111700,0
2025-01-21,sh.603280,21.8500,21.8500,21.4500,21.6500,21.7600,1599800,34544177.0000,3,5.725500,1,-0.505500,0
2025-01-22,sh.603280,21.5800,21.6400,21.3300,21.3500,21.6500,965200,20698008.0000,3,3.454300,1,-1.385700,0
2025-01-23,sh.603280,21.5800,21.8300,21.2200,21.2200,21.3500,1166100,25127855.0000,3,4.173300,1,-0.608900,0
2025-01-24,sh.603280,21.2200,21.7100,21.1600,21.7000,21.2200,1817300,39189000.0000,3,6.503900,1,2.262000,0
2025-01-27,sh.603280,21.7000,22.0200,21.5700,21.8400,21.7000,1609200,35179108.0000,3,5.759100,1,0.645200,0
2025-02-05,sh.603280,21.9100,22.5200,21.5600,22.1500,21.8400,2323963,50993003.5800,3,8.317200,1,1.419400,0
2025-02-06,sh.603280,22.0100,24.3700,22.0100,24.3700,22.1500,9480452,224242815.3900,3,33.929400,1,10.022600,0
2025-02-07,sh.603280,24.3700,24.3700,23.3000,23.4300,24.3700,10342479,243539937.5100,3,37.014500,1,-3.857200,0
2025-02-10,sh.603280,23.2000,23.2000,22.7600,22.9700,23.4300,5580426,127773483.5000,3,19.971700,1,-1.963300,0
2025-02-11,sh.603280,22.9700,23.2900,22.7100,23.2800,22.9700,4969590,114319685.9000,3,17.785600,1,1.349600,0
2025-02-12,sh.603280,23.1200,23.6300,22.8700,23.1900,23.2800,4027721,93278285.4600,3,14.414700,1,-0.386600,0
2025-02-13,sh.603280,23.5000,23.9700,23.0300,23.1000,23.1900,5244494,123630616.1600,3,18.769400,1,-0.388100,0
2025-02-14,sh.603280,23.2100,25.4100,23.1200,23.4400,23.1000,6087284,145289914.2100,3,21.785700,1,1.471900,0
2025-02-17,sh.603280,22.8800,24.0500,22.5100,23.7800,23.4400,5914626,137332854.2200,3,21.167800,1,1.450500,0
2025-02-18,sh.603280,23.3800,25.8000,23.0700,24.1600,23.7800,7897326,191898032.5500,3,28.263600,1,1.598000,0
2025-02-19,sh.603280,24.0000,25.3500,24.0000,25.2000,24.1600,8228926,204458982.1900,3,29.450400,1,4.304600,0
2025-02-20,sh.603280,24.8500,25.4800,24.2800,24.8100,25.2000,5931000,147574441.1800,3,21.226400,1,-1.547600,0
2025-02-21,sh.603280,24.5500,24.8500,24.0000,24.7700,24.8100,5408200,131736583.2400,3,19.355300,1,-0.161200,0
2025-02-24,sh.603280,24.5000,26.3800,24.1600,25.6300,24.7700,6789000,171870465.0000,3,24.297000,1,3.471900,0
2025-02-25,sh.603280,25.1500,25.1500,24.3900,24.4100,25.6300,4889732,120900703.9400,3,17.499800,1,-4.760000,0
2025-02-26,sh.603280,24.2200,24.5500,24.1000,24.2800,24.4100,3134194,76190509.8400,3,11.216900,1,-0.532600,0
2025-02-27,sh.603280,24.3100,24.4900,23.5000,23.9000,24.2800,3052671,72934765.0700,3,10.925200,1,-1.565100,0
2025-02-28,sh.603280,23.9000,24.3000,23.2900,23.3100,23.9000,2835383,67144414.3700,3,10.147500,1,-2.468600,0
2025-03-03,sh.603280,23.1600,24.3800,23.0900,23.7200,23.3100,3428078,81846975.8000,3,12.268700,1,1.758900,0
2025-03-04,sh.603280,23.2500,23.7500,23.1600,23.4200,23.7200,2885400,67604592.7000,3,10.326500,1,-1.264800,0
2025-03-05,sh.603280,23.4200,24.5800,23.4200,24.4700,23.4200,4769778,115466157.3600,3,17.070500,1,4.483300,0
2025-03-06,sh.603280,24.3000,24.4400,23.9600,24.2600,24.4700,3881458,94053935.8200,3,13.891300,1,-0.858200,0
2025-03-07,sh.603280,24.1200,24.5800,24.0500,24.2900,24.2600,2919052,70902105.9400,3,10.447000,1,0.123700,0
2025-03-10,sh.603280,24.3300,24.9800,24.1800,24.4300,24.2900,2910858,71322342.7800,3,10.417600,1,0.576400,0
2025-03-11,sh.603280,24.1900,24.5400,23.9200,24.1300,24.4300,2270863,54811101.3700,3,8.127200,1,-1.228000,0
2025-03-12,sh.603280,24.2500,24.4000,23.8100,23.8500,24.1300,1981100,47403297.0000,3,7.090100,1,-1.160400,0
2025-03-13,sh.603280,23.8000,23.9300,23.3000,23.7300,23.8500,1808500,42721839.0000,3,6.472400,1,-0.503100,0
