date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2015-11-30,sz.002246,12.0300,14.3400,11.0800,14.1200,195727175,2476162640.0000,3,47.312919,13.870968
2015-12-31,sz.002246,14.1200,14.1200,14.1200,14.1200,0,0.0000,3,0.000000,0.000000
2016-01-29,sz.002246,14.1200,14.1200,14.1200,14.1200,0,0.0000,3,0.000000,0.000000
2016-02-29,sz.002246,14.1200,14.1200,14.1200,14.1200,0,0.0000,3,0.000000,0.000000
2016-03-31,sz.002246,14.1200,14.1200,14.1200,14.1200,0,0.0000,3,0.000000,0.000000
2016-04-29,sz.002246,14.1200,14.1200,14.1200,14.1200,0,0.0000,3,0.000000,0.000000
2016-05-31,sz.002246,14.1200,14.1200,14.1200,14.1200,0,0.0000,3,0.000000,0.000000
2016-06-30,sz.002246,14.1200,14.1200,14.1000,14.1000,0,0.0000,3,0.000000,0.000000
2016-07-29,sz.002246,14.1000,14.1000,14.1000,14.1000,0,0.0000,3,0.000000,0.000000
2016-08-31,sz.002246,12.6900,13.1700,10.5400,12.9000,247311560,2918357373.0000,3,59.782357,-8.510638
2016-09-30,sz.002246,12.8000,14.1800,12.1000,12.8700,209013154,2783095488.0000,3,50.524524,-0.232558
2016-10-31,sz.002246,12.9800,14.9600,12.7800,13.5200,167951704,2368593568.0000,3,40.598784,5.050505
2016-11-30,sz.002246,13.5500,13.7500,12.2800,12.4200,125523976,1659475000.0000,3,30.342775,-8.136095
2016-12-30,sz.002246,12.4800,12.6000,11.0700,11.9400,107791711,1286804112.0000,3,26.056374,-3.864734
2017-01-26,sz.002246,12.0100,18.2500,11.9700,15.1000,731558743,11472396568.0000,3,176.838906,26.465662
2017-02-28,sz.002246,15.1100,17.1400,14.7100,14.9300,502423607,8110924626.0000,3,121.450316,-1.125828
2017-03-31,sz.002246,14.9000,20.8800,13.7000,18.4100,621623216,10649660886.0000,3,150.264309,23.308774
2017-04-28,sz.002246,17.6400,23.7800,15.4400,17.2000,977747137,19035537782.0000,3,236.349760,-6.572515
2017-05-31,sz.002246,16.8900,18.2200,13.3000,13.6500,494561102,7861267685.0000,3,119.549722,-20.639535
2017-06-30,sz.002246,13.5000,15.9500,12.0200,14.5700,437133710,6221893474.0000,3,105.667860,6.890583
2017-07-31,sz.002246,14.6600,18.1900,14.6100,16.4600,472331425,7862212461.0000,3,114.176166,12.971860
2017-08-31,sz.002246,16.5000,19.4300,14.5000,17.7800,740460676,12606299613.0000,3,178.990760,8.019441
2017-09-29,sz.002246,17.8300,18.5800,15.6800,16.3600,367581793,6381723304.8100,3,88.855150,-7.986502
2017-10-31,sz.002246,16.4200,17.0800,13.6000,13.8300,161419573,2523565178.7900,3,39.019779,-15.464548
2017-11-30,sz.002246,13.8500,14.2800,11.5800,12.3900,150419235,1955269545.8600,3,36.360679,-10.412148
2017-12-29,sz.002246,12.3100,13.8900,11.6100,12.4100,204864072,2630811415.5500,3,49.521571,0.161421
2018-01-31,sz.002246,12.4100,13.3000,11.0100,11.0700,140233428,1714728633.3600,3,33.898475,-10.797744
2018-02-28,sz.002246,11.1100,11.1500,8.7000,10.1200,76078019,744276781.4100,3,18.390300,-8.581752
2018-03-30,sz.002246,10.0600,13.3000,10.0000,11.8500,391485254,4589686679.1500,3,94.633308,17.094862
2018-04-27,sz.002246,11.7300,12.1900,9.3800,10.0600,167891955,1864258452.1200,3,40.584341,-15.105485
2018-05-31,sz.002246,10.1400,10.9800,8.9100,9.1200,96814475,971343137.9600,3,23.402859,-9.343936
2018-06-29,sz.002246,9.1600,10.3000,8.2700,8.5700,59921383,550903504.1400,3,14.484731,-6.030702
2018-07-31,sz.002246,8.5700,9.9600,7.7100,9.2500,104032195,919928629.1600,3,25.147590,8.452949
2018-08-31,sz.002246,9.2600,9.2600,7.9100,8.0800,63702215,534149409.0200,3,15.398668,-12.648649
2018-09-28,sz.002246,8.0600,8.4800,7.8200,8.1800,43289418,354295237.2100,3,10.464304,1.237624
2018-10-31,sz.002246,8.0000,8.1100,6.2500,6.8400,40307740,281697202.3600,3,9.743547,-16.381418
2018-11-30,sz.002246,6.8600,7.9300,6.8100,7.1800,84867286,624192697.3100,3,20.514877,4.970760
2018-12-28,sz.002246,7.3000,7.5600,6.5100,6.6100,39761263,281923794.2800,3,9.611447,-7.938719
2019-01-31,sz.002246,6.6200,7.4400,6.4400,6.5000,53151686,372847314.3500,3,12.848300,-1.664145
2019-02-28,sz.002246,6.5100,8.0300,6.5100,7.8600,75116174,561807453.3900,3,16.696321,20.923077
2019-03-29,sz.002246,7.8600,10.2900,7.6300,9.6200,296287042,2605997203.7700,3,65.856703,22.391858
2019-04-30,sz.002246,9.7300,11.4900,8.3100,8.5500,311722184,3171007091.7600,3,69.287523,-11.122661
