date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2020-12-25,sz.000028,47.0100,49.0000,45.4100,46.8800,25692532,1205579964.4900,3,6.986700,-0.488219
2020-12-31,sz.000028,46.9200,47.2500,44.4800,45.8000,16075841,733774747.3300,3,4.371700,-2.303754
2021-01-08,sz.000028,45.8200,45.9800,42.4400,43.0300,27311420,1200415071.7500,3,7.426900,-6.048035
2021-01-15,sz.000028,43.0500,43.4900,42.0000,42.3200,19026995,811216978.0600,3,5.174100,-1.650012
2021-01-22,sz.000028,42.3200,43.3000,41.6000,41.9800,16607985,706806859.0000,3,4.516500,-0.803403
2021-01-29,sz.000028,41.9700,42.1900,38.1200,38.4000,23044281,913861039.3300,3,6.266500,-8.527870
2021-02-05,sz.000028,38.4000,39.3700,36.9600,36.9600,14888798,568645562.0000,3,4.048800,-3.750000
2021-02-10,sz.000028,37.1700,39.1000,36.6700,38.7300,8893205,336886544.0000,3,2.418300,4.788961
2021-02-19,sz.000028,39.0500,40.3000,38.5500,40.1100,7569656,297053164.0000,3,2.058500,3.563129
2021-02-26,sz.000028,40.2000,40.6800,38.6200,38.8700,17164818,677464941.8000,3,4.667800,-3.091498
2021-03-05,sz.000028,39.0000,40.9100,38.9000,40.5400,13496012,539999202.0000,3,3.670200,4.296373
2021-03-12,sz.000028,40.5400,41.2900,38.9000,39.5600,11169855,444812394.0000,3,3.037400,-2.417366
2021-03-19,sz.000028,39.2500,42.3100,38.7000,40.9000,18443643,756071745.0000,3,5.015600,3.387260
2021-03-26,sz.000028,40.8900,41.8000,40.7500,41.5800,10826685,448693931.9800,3,2.944200,1.662592
2021-04-02,sz.000028,41.5000,42.3300,40.8800,42.1700,13798437,575004929.0000,3,3.752300,1.418951
2021-04-09,sz.000028,42.0300,42.4400,41.3000,41.8300,10372394,435048467.0000,3,2.820600,-0.806260
2021-04-16,sz.000028,41.9900,43.3000,41.3800,43.2300,12057383,509626948.0000,3,3.278800,3.346880
