date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2024-12-16,sh.600988,16.7200,16.8200,16.6100,16.6200,16.8800,33795508,563324620.5200,3,2.031100,1,-1.540300,0
2024-12-17,sh.600988,16.6100,16.6800,16.4300,16.4900,16.6200,25148944,416004039.5800,3,1.511400,1,-0.782200,0
2024-12-18,sh.600988,16.5000,16.5700,16.2000,16.4500,16.4900,29226417,478569350.3300,3,1.756500,1,-0.242600,0
2024-12-19,sh.600988,16.1500,16.2200,15.8200,16.2000,16.4500,46755896,749859099.8600,3,2.810000,1,-1.519800,0
2024-12-20,sh.600988,16.0900,16.3800,16.0400,16.1900,16.2000,29517978,479330649.8700,3,1.774000,1,-0.061700,0
2024-12-23,sh.600988,16.3000,16.3300,16.0700,16.0900,16.1900,25731946,416224430.7600,3,1.546500,1,-0.617700,0
2024-12-24,sh.600988,16.1100,16.1100,15.7400,15.9500,16.0900,37334714,592457564.1100,3,2.243800,1,-0.870100,0
2024-12-25,sh.600988,15.8700,15.9500,15.7600,15.8200,15.9500,19989366,316816775.0800,3,1.201300,1,-0.815000,0
2024-12-26,sh.600988,15.8700,16.1800,15.8700,16.0700,15.8200,25061351,402195882.0700,3,1.506200,1,1.580300,0
2024-12-27,sh.600988,16.0700,16.2000,15.9300,16.0100,16.0700,21091030,338537748.9900,3,1.267600,1,-0.373400,0
2024-12-30,sh.600988,16.1900,16.3000,15.8600,15.9100,16.0100,31806737,510988421.1800,3,1.911600,1,-0.624600,0
2024-12-31,sh.600988,15.9000,15.9000,15.5500,15.6100,15.9100,33083919,518877342.8000,3,1.988300,1,-1.885600,0
2025-01-02,sh.600988,15.7000,16.3200,15.6500,16.2400,15.6100,67734258,1088838329.3700,3,4.070800,1,4.035900,0
2025-01-03,sh.600988,16.2500,16.9300,16.2500,16.5500,16.2400,86780086,1447826508.0600,3,5.215400,1,1.908900,0
2025-01-06,sh.600988,16.4400,16.6500,16.0500,16.2600,16.5500,43570500,710160633.0000,3,2.618600,1,-1.752300,0
2025-01-07,sh.600988,16.1500,16.5400,15.9200,16.5300,16.2600,40452588,661959494.3000,3,2.431200,1,1.660500,0
2025-01-08,sh.600988,16.4300,16.7200,16.0700,16.3100,16.5300,41588113,681164459.3600,3,2.499400,1,-1.330900,0
2025-01-09,sh.600988,16.3100,16.3800,16.1000,16.1800,16.3100,26348497,426946506.1500,3,1.583500,1,-0.797100,0
2025-01-10,sh.600988,16.2700,16.4000,16.1100,16.2800,16.1800,31765836,516945594.1700,3,1.909100,1,0.618000,0
2025-01-13,sh.600988,16.2000,17.0700,16.0300,16.9500,16.2800,73156809,1227532790.9200,3,4.396700,1,4.115500,0
2025-01-14,sh.600988,16.6200,16.9500,16.6100,16.9200,16.9500,50062253,844385968.5400,3,3.008700,1,-0.177000,0
2025-01-15,sh.600988,16.9800,17.0500,16.4800,16.6800,16.9200,42290400,705026024.1400,3,2.541600,1,-1.418400,0
2025-01-16,sh.600988,16.8500,17.1400,16.8500,16.9700,16.6800,52660843,894216467.8500,3,3.164900,1,1.738600,0
2025-01-17,sh.600988,17.0900,17.3500,16.9800,17.1600,16.9700,46152248,792527072.1500,3,2.773700,1,1.119600,0
2025-01-20,sh.600988,17.0000,17.0800,16.7900,17.0000,17.1600,31956500,540894382.0000,3,1.920600,1,-0.932400,0
2025-01-21,sh.600988,17.2400,17.6600,17.1800,17.4000,17.0000,67336200,1173284299.4800,3,4.046900,1,2.352900,0
2025-01-22,sh.600988,17.6400,17.9800,17.5100,17.8700,17.4000,77687552,1383713907.0200,3,4.669000,1,2.701100,0
2025-01-23,sh.600988,17.7200,18.1600,17.6800,17.7900,17.8700,50480547,902972194.1700,3,3.033800,1,-0.447700,0
2025-01-24,sh.600988,17.9800,18.0400,17.5900,17.9100,17.7900,45426731,811419596.1000,3,2.730100,1,0.674500,0
2025-01-27,sh.600988,17.9900,18.1000,17.8500,17.8800,17.9100,36979675,664513616.2500,3,2.222500,1,-0.167500,0
2025-02-05,sh.600988,18.5900,19.4500,18.5800,19.3900,17.8800,103008575,1963449983.8000,3,6.190700,1,8.445200,0
2025-02-06,sh.600988,19.3900,19.8000,19.3300,19.5500,19.3900,80802018,1579609847.4700,3,4.856100,1,0.825200,0
2025-02-07,sh.600988,19.6000,19.7300,19.1900,19.7200,19.5500,66071163,1290570662.7100,3,3.970800,1,0.869600,0
2025-02-10,sh.600988,19.8000,20.0900,19.3500,19.7900,19.7200,60699533,1191858325.5200,3,3.648000,1,0.355000,0
2025-02-11,sh.600988,20.1500,20.9800,20.1000,20.1700,19.7900,99636832,2036935485.6400,3,5.988100,1,1.920200,0
2025-02-12,sh.600988,19.7700,20.0500,19.6500,19.8700,20.1700,56195823,1114780707.8700,3,3.377300,1,-1.487400,0
2025-02-13,sh.600988,19.9300,20.2600,19.7400,19.8700,19.8700,44841481,895784582.9700,3,2.694900,1,0.000000,0
2025-02-14,sh.600988,20.1500,20.2300,19.6900,19.9500,19.8700,41285892,820712316.9400,3,2.481300,1,0.402600,0
2025-02-17,sh.600988,18.9900,19.5100,18.6800,19.3100,19.9500,53894244,1035759436.3100,3,3.239000,1,-3.208000,0
2025-02-18,sh.600988,19.3100,19.6200,19.2000,19.5600,19.3100,37529980,730607710.3900,3,2.255500,1,1.294700,0
2025-02-19,sh.600988,19.8500,20.0400,19.4600,19.7200,19.5600,42876063,845497886.4700,3,2.576800,1,0.818000,0
2025-02-20,sh.600988,19.7300,20.2500,19.7000,20.1400,19.7200,49628333,993502396.9900,3,2.982600,1,2.129800,0
2025-02-21,sh.600988,20.0600,20.1500,19.4100,19.4600,20.1400,50862443,1003163836.2900,3,3.056800,1,-3.376400,0
2025-02-24,sh.600988,19.0400,19.7800,19.0100,19.6600,19.4600,48852256,948326961.2400,3,2.936000,1,1.027700,0
2025-02-25,sh.600988,19.7500,19.9900,19.2800,19.4200,19.6600,36346508,712160926.0000,3,2.184400,1,-1.220800,0
2025-02-26,sh.600988,19.3700,19.7100,19.1500,19.1800,19.4200,30128196,582380111.1600,3,1.810700,1,-1.235800,0
2025-02-27,sh.600988,19.1800,19.2400,18.7000,18.7700,19.1800,39361672,745235204.1600,3,2.365600,1,-2.137600,0
2025-02-28,sh.600988,18.6000,18.7400,18.1000,18.2200,18.7700,43295826,796321037.6200,3,2.602100,1,-2.930200,0
2025-03-03,sh.600988,18.3200,18.5500,18.0600,18.1600,18.2200,28638610,523307910.9800,3,1.721200,1,-0.329300,0
2025-03-04,sh.600988,18.3000,18.9000,18.2600,18.6600,18.1600,44544600,826947480.0000,3,2.677100,1,2.753300,0
2025-03-05,sh.600988,18.7200,19.2900,18.6800,19.2700,18.6600,41343782,789507163.4000,3,2.484700,1,3.269000,0
2025-03-06,sh.600988,19.2700,19.4700,18.9900,19.2300,19.2700,34366180,660631296.2400,3,2.065400,1,-0.207600,0
2025-03-07,sh.600988,19.0300,19.4800,19.0100,19.2800,19.2300,35596553,686326402.1000,3,2.139300,1,0.260000,0
2025-03-10,sh.600988,19.2900,19.4100,18.8800,19.0800,19.2800,31039394,593461796.4000,3,1.865400,1,-1.037300,0
2025-03-11,sh.600988,18.6000,18.9000,18.6000,18.8400,19.0800,34093000,639502860.1800,3,2.049000,1,-1.257900,0
2025-03-12,sh.600988,18.8700,19.1800,18.8000,18.8800,18.8400,24396656,461946580.5600,3,1.466200,1,0.212300,0
2025-03-13,sh.600988,19.1700,19.3500,18.9100,19.0000,18.8800,32943089,629459623.8000,3,1.979900,1,0.635600,0
2025-03-14,sh.600988,19.9000,20.0600,19.4600,19.7300,19.0000,75792130,1497270372.5400,3,4.555100,1,3.842100,0
2025-03-17,sh.600988,19.6800,19.8900,19.3500,19.4400,19.7300,34954085,683745650.1600,3,2.100700,1,-1.469800,0
2025-03-18,sh.600988,19.6000,21.1300,19.6000,20.9200,19.4400,90201761,1859054382.4000,3,5.421100,1,7.613200,0
2025-03-19,sh.600988,20.9800,21.6600,20.8800,21.2800,20.9200,71676494,1528827888.3700,3,4.307700,1,1.720800,0
2025-03-20,sh.600988,21.8100,22.1500,21.4800,21.5200,21.2800,74192704,1615775803.6800,3,4.458900,1,1.127800,0
2025-03-21,sh.600988,21.5500,21.7500,21.0700,21.2600,21.5200,49233695,1050919657.3600,3,2.958900,1,-1.208200,0
2025-03-24,sh.600988,20.9400,21.2600,20.7000,20.9100,21.2600,40682209,851544668.4300,3,2.445000,1,-1.646300,0
2025-03-25,sh.600988,20.8200,21.1700,20.6400,20.8700,20.9100,33504966,698944941.9200,3,2.013600,1,-0.191300,0
2025-03-26,sh.600988,20.9900,21.0800,20.5000,20.6000,20.8700,40911005,847881840.4900,3,2.458700,1,-1.293700,0
2025-03-27,sh.600988,20.6300,20.9800,20.4000,20.8400,20.6000,33420401,692695528.1400,3,2.008500,1,1.165000,0
2025-03-28,sh.600988,21.6700,21.7900,20.9200,21.6400,20.8400,67963986,1456638336.6300,3,4.084600,1,3.838800,0
2025-03-31,sh.600988,21.7400,23.0600,21.7400,22.9000,21.6400,108541042,2449631648.0200,3,6.523200,1,5.822600,0
2025-04-01,sh.600988,23.1600,23.4200,22.4400,22.7500,22.9000,83795945,1919338825.4800,3,5.036100,1,-0.655000,0
2025-04-02,sh.600988,22.6000,22.9100,21.8200,21.9000,22.7500,65341751,1456582754.8600,3,3.927000,1,-3.736300,0
