date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2024-12-04,sh.600423,3.1500,3.1500,3.0600,3.1000,3.1500,19181797,59507473.3800,3,2.401600,1,-1.587300,0
2024-12-05,sh.600423,3.0800,3.1400,3.0800,3.1300,3.1000,11156634,34733301.7400,3,1.396900,1,0.967700,0
2024-12-06,sh.600423,3.1300,3.2300,3.1100,3.2300,3.1300,20230654,64269981.7000,3,2.533000,1,3.194900,0
2024-12-09,sh.600423,3.2500,3.3500,3.2000,3.2600,3.2300,22596002,73993644.4400,3,2.829100,1,0.928800,0
2024-12-10,sh.600423,3.3700,3.3700,3.2200,3.2400,3.2600,17882300,58499853.0000,3,2.238900,1,-0.613500,0
2024-12-11,sh.600423,3.2400,3.3200,3.2300,3.3000,3.2400,13572702,44651691.5800,3,1.699400,1,1.851900,0
2024-12-12,sh.600423,3.3000,3.4000,3.2900,3.3900,3.3000,14505900,48557551.0000,3,1.816200,1,2.727300,0
2024-12-13,sh.600423,3.3900,3.4000,3.2800,3.3000,3.3900,15331776,51111123.3600,3,1.919600,1,-2.654900,0
2024-12-16,sh.600423,3.3100,3.3700,3.3000,3.3300,3.3000,10914800,36363582.0000,3,1.366600,1,0.909100,0
2024-12-17,sh.600423,3.3200,3.3300,3.1000,3.1300,3.3300,20317200,64512206.0000,3,2.543800,1,-6.006000,0
2024-12-18,sh.600423,3.1300,3.2000,3.0300,3.1400,3.1300,14271100,44645014.0000,3,1.786800,1,0.319500,0
2024-12-19,sh.600423,3.0800,3.1300,3.0300,3.1000,3.1400,12287000,37777623.0000,3,1.538400,1,-1.273900,0
2024-12-20,sh.600423,3.0900,3.2000,3.0800,3.1500,3.1000,13036176,41139166.9200,3,1.632200,1,1.612900,0
2024-12-23,sh.600423,3.1300,3.1600,2.9200,2.9300,3.1500,19696100,58668054.0000,3,2.466000,1,-6.984100,0
2024-12-24,sh.600423,2.9300,2.9800,2.8900,2.9700,2.9300,16058010,47282948.4000,3,2.010500,1,1.365200,0
2024-12-25,sh.600423,2.9600,2.9600,2.7900,2.8500,2.9700,14734200,42007019.0000,3,1.844800,1,-4.040400,0
2024-12-26,sh.600423,2.8400,2.8800,2.8100,2.8300,2.8500,10393710,29576229.2000,3,1.301300,1,-0.701800,0
2024-12-27,sh.600423,2.8200,2.9500,2.8100,2.9300,2.8300,12899611,37579868.6300,3,1.615100,1,3.533600,0
2024-12-30,sh.600423,2.9300,2.9500,2.8000,2.9100,2.9300,12110000,34895588.0000,3,1.516200,1,-0.682600,0
2024-12-31,sh.600423,2.9100,2.9700,2.9000,2.9400,2.9100,11417500,33586986.0000,3,1.429500,1,1.030900,0
2025-01-02,sh.600423,2.9100,2.9800,2.8800,2.9100,2.9400,11854700,34644556.0000,3,1.484300,1,-1.020400,0
2025-01-03,sh.600423,2.9200,2.9300,2.7600,2.7700,2.9100,13980800,39775813.0000,3,1.750500,1,-4.811000,0
2025-01-06,sh.600423,2.7900,2.8000,2.6500,2.7500,2.7700,9958100,27159636.3200,3,1.246800,1,-0.722000,0
2025-01-07,sh.600423,2.7400,2.8400,2.7300,2.8300,2.7500,6398000,17815762.0000,3,0.801100,1,2.909100,0
2025-01-08,sh.600423,2.8100,2.8500,2.7400,2.8000,2.8300,7022400,19582295.0000,3,0.879200,1,-1.060100,0
2025-01-09,sh.600423,2.8100,3.0800,2.7700,2.9100,2.8000,18680737,54819951.6700,3,2.338900,1,3.928600,0
2025-01-10,sh.600423,2.8800,2.9700,2.8000,2.8000,2.9100,12866161,36976105.2900,3,1.610900,1,-3.780100,0
2025-01-13,sh.600423,2.8000,3.0800,2.7500,3.0800,2.8000,12669510,38507013.9200,3,1.586300,1,10.000000,0
2025-01-14,sh.600423,3.3900,3.3900,3.3900,3.3900,3.0800,7213363,24453300.5700,3,0.903100,1,10.064900,0
2025-01-15,sh.600423,3.6000,3.7300,3.3900,3.7300,3.3900,139541447,504290558.1200,3,17.471200,1,10.029500,0
2025-01-16,sh.600423,3.7800,4.1000,3.7700,3.8900,3.7300,209425687,840268923.8200,3,26.221000,1,4.289500,0
2025-01-17,sh.600423,3.6500,4.2800,3.5000,4.2800,3.8900,148668028,564175246.7100,3,18.613900,1,10.025700,0
2025-01-20,sh.600423,4.2400,4.4800,3.8500,3.8500,4.2800,174559455,702738284.0100,3,21.855600,1,-10.046700,0
2025-01-21,sh.600423,3.5100,3.6700,3.4700,3.4700,3.8500,116563270,410351764.6100,3,14.594200,1,-9.870100,0
2025-01-22,sh.600423,3.2600,3.3300,3.1200,3.1200,3.4700,99492483,316333959.7400,3,12.456900,1,-10.086500,0
2025-01-23,sh.600423,3.1400,3.1800,3.0300,3.0300,3.1200,64494598,200200339.2300,3,8.075000,1,-2.884600,0
2025-01-24,sh.600423,3.0300,3.0800,2.9700,3.0600,3.0300,45077343,136466757.1500,3,5.643900,1,0.990100,0
2025-01-27,sh.600423,3.0800,3.0900,3.0200,3.0200,3.0600,33348317,101902614.3400,3,4.175400,1,-1.307200,0
2025-02-05,sh.600423,3.0200,3.1000,2.9900,3.0900,3.0200,35729318,109461888.9100,3,4.473500,1,2.317900,0
2025-02-06,sh.600423,3.0500,3.1100,3.0300,3.1100,3.0900,36238735,111407849.0500,3,4.537200,1,0.647200,0
2025-02-07,sh.600423,3.1100,3.1600,3.0600,3.0900,3.1100,42486091,132507485.9700,3,5.319400,1,-0.643100,0
2025-02-10,sh.600423,3.1200,3.2000,3.1100,3.1900,3.0900,49028591,154931682.8300,3,6.138600,1,3.236200,0
2025-02-11,sh.600423,3.1900,3.2100,3.1200,3.1600,3.1900,29748527,93582508.6600,3,3.724600,1,-0.940400,0
2025-02-12,sh.600423,3.1500,3.1700,3.1100,3.1500,3.1600,27306943,85541966.0200,3,3.418900,1,-0.316500,0
2025-02-13,sh.600423,3.1500,3.1900,3.1300,3.1700,3.1500,33113434,104946955.8800,3,4.145900,1,0.634900,0
2025-02-14,sh.600423,3.1800,3.1900,3.1000,3.1100,3.1700,25726800,80381926.0000,3,3.221100,1,-1.892700,0
2025-02-17,sh.600423,3.1000,3.1600,3.0700,3.1400,3.1100,24413803,76045425.2700,3,3.056700,1,0.964600,0
2025-02-18,sh.600423,3.1400,3.1600,3.0500,3.0600,3.1400,27398200,85277846.0000,3,3.430400,1,-2.547800,0
