date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2024-12-12,sh.600777,2.3000,2.3600,2.2900,2.3300,2.2900,53712086,125059235.8100,3,0.843700,1,1.746700,1
2024-12-13,sh.600777,2.3200,2.3300,2.2600,2.2600,2.3300,44878920,102632650.2000,3,0.705000,1,-3.004300,1
2024-12-16,sh.600777,2.2500,2.2800,2.2500,2.2600,2.2600,31848060,72109811.0000,3,0.500300,1,0.000000,1
2024-12-17,sh.600777,2.2600,2.2700,2.2000,2.2100,2.2600,40446870,89938579.9000,3,0.635300,1,-2.212400,1
2024-12-18,sh.600777,2.2100,2.2400,2.2100,2.2300,2.2100,24486780,54560893.6300,3,0.384600,1,0.905000,1
2024-12-19,sh.600777,2.2200,2.2300,2.2000,2.2100,2.2300,28249700,62570611.0000,3,0.443700,1,-0.896900,1
2024-12-20,sh.600777,2.2100,2.2500,2.2000,2.2400,2.2100,32376544,72245813.6800,3,0.508600,1,1.357500,1
2024-12-23,sh.600777,2.2400,2.2500,2.2000,2.2000,2.2400,31157905,69181425.2500,3,0.489400,1,-1.785700,1
2024-12-24,sh.600777,2.2000,2.2100,2.1900,2.2100,2.2000,29167604,64084756.5600,3,0.458200,1,0.454500,1
2024-12-25,sh.600777,2.2100,2.2200,2.1700,2.1800,2.2100,32605922,71257526.9200,3,0.512200,1,-1.357500,1
2024-12-26,sh.600777,2.1800,2.2000,2.1800,2.1900,2.1800,17518111,38359780.0900,3,0.275200,1,0.458700,1
2024-12-27,sh.600777,2.1900,2.2100,2.1800,2.2000,2.1900,29670407,65207501.7400,3,0.466100,1,0.456600,1
2024-12-30,sh.600777,2.1900,2.2000,2.1800,2.1900,2.2000,22970459,50294911.4100,3,0.360800,1,-0.454500,1
2024-12-31,sh.600777,2.1900,2.2900,2.1900,2.2200,2.1900,58960080,131950347.9800,3,0.926100,1,1.369900,1
2025-01-02,sh.600777,2.2200,2.2200,2.1400,2.1600,2.2200,47714300,104475183.0000,3,0.749500,1,-2.702700,1
2025-01-03,sh.600777,2.1700,2.2000,2.1500,2.1600,2.1600,42307081,91790555.0000,3,0.664600,1,0.000000,1
