date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2020-12-25,sz.000663,3.8700,3.9500,3.7100,3.9400,10081517,38772057.8600,3,3.460500,1.808786
2020-12-31,sz.000663,4.0200,4.1400,3.8700,3.9500,19078207,77020986.0500,3,6.548400,0.253807
2021-01-08,sz.000663,3.9500,4.0200,3.8800,3.9300,8575852,33794005.2000,3,2.943600,-0.506329
2021-01-15,sz.000663,3.9300,3.9500,3.7700,3.8000,10938907,42021308.4800,3,3.754800,-3.307888
2021-01-22,sz.000663,3.8100,4.2400,3.7900,4.1400,13044623,52812642.0000,3,4.477500,8.947368
2021-01-29,sz.000663,4.1400,4.3500,4.0000,4.2500,22399614,94157704.7000,3,7.688500,2.657005
2021-02-05,sz.000663,4.2100,4.5500,4.0900,4.1100,21796524,94151552.0000,3,7.481600,-3.294118
2021-02-10,sz.000663,4.1200,4.2000,4.0600,4.1700,6130107,25320942.7900,3,2.104100,1.459854
2021-02-19,sz.000663,4.3800,4.5700,4.2400,4.4700,17065015,74750710.0000,3,5.857500,7.194245
2021-02-26,sz.000663,4.4300,4.6800,4.1300,4.2800,28442581,122937510.2600,3,9.762700,-4.250559
2021-03-05,sz.000663,4.2800,4.5500,4.2700,4.5000,16809384,73977667.0000,3,5.769700,5.140187
2021-03-12,sz.000663,4.5400,4.5400,4.2000,4.3500,18206047,79484235.0000,3,6.249200,-3.333333
2021-03-19,sz.000663,4.3900,4.7100,4.3500,4.6800,28137838,127539207.0000,3,9.658200,7.586207
2021-03-26,sz.000663,4.6800,5.5200,4.5000,5.4100,60977823,315326742.0200,3,20.930300,15.598291
2021-04-02,sz.000663,5.4100,5.5300,4.9500,4.9900,28290135,147191585.0000,3,9.710400,-7.763401
2021-04-09,sz.000663,4.9600,5.2500,4.9600,5.1100,10738418,54945181.0000,3,3.685800,2.404810
2021-04-16,sz.000663,5.0900,5.2800,5.0400,5.1200,11020017,56360899.0000,3,3.782600,0.195695
2021-04-23,sz.000663,5.1200,5.1300,5.0400,5.0500,12366470,62813438.1000,3,4.244700,-1.367200
2021-04-30,sz.000663,5.0500,5.9600,5.0100,5.5800,22528969,123410734.6500,3,7.851500,10.495000
2021-05-07,sz.000663,5.5800,5.8700,5.5500,5.8200,9400679,53480830.3100,3,3.355000,4.301100
2021-05-14,sz.000663,5.8200,6.3700,5.8200,6.2800,28985385,177730898.8600,3,10.344500,7.903800
2021-05-21,sz.000663,6.1900,6.4900,5.6700,6.4900,21352414,130288202.1800,3,7.620400,3.343900
2021-05-28,sz.000663,6.8100,7.5600,6.6500,7.5600,53212460,383940301.3800,3,18.990900,16.486900
2021-06-04,sz.000663,7.5300,8.9400,7.5100,8.9400,59573312,496461330.4100,3,21.260900,18.254000
2021-06-11,sz.000663,9.3900,10.8700,9.1000,10.3200,54179254,545547651.1700,3,19.335900,15.436200
2021-06-18,sz.000663,10.1000,10.7500,9.3400,10.0200,35251054,351615578.6800,3,12.580700,-2.907000
2021-06-25,sz.000663,9.9000,12.2300,9.8100,12.2300,56534677,645612032.4200,3,20.176500,22.055900
2021-07-02,sz.000663,11.7800,13.0900,10.8800,10.9600,59166831,715092567.0500,3,21.115900,-10.384300
2021-07-09,sz.000663,10.9000,12.6000,10.4100,12.3800,52765267,602754315.5100,3,18.831200,12.956200
2021-07-16,sz.000663,12.1600,12.9800,11.5100,11.8300,47766132,588173370.7300,3,17.047000,-4.442600
2021-07-23,sz.000663,11.8200,12.1600,10.6800,11.6100,38781949,440961398.4300,3,13.840700,-1.859700
2021-07-30,sz.000663,11.6100,11.8800,9.9400,10.1700,30548868,325105060.3200,3,9.973500,-12.403100
2021-08-06,sz.000663,10.0000,10.4900,8.9900,10.0500,42475035,411436421.0400,3,13.867200,-1.179900
2021-08-13,sz.000663,10.0000,11.5700,9.8600,11.1900,40278286,438518968.7400,3,13.150000,11.343300
2021-08-20,sz.000663,11.0000,11.2600,10.7200,11.1000,23401290,257302005.4600,3,7.640000,-0.804300
2021-08-27,sz.000663,11.0900,12.0700,11.0000,11.8800,27623944,322427126.4600,3,9.018600,7.027000
2021-09-03,sz.000663,11.8700,11.9800,10.5400,11.2500,25664976,287255536.5100,3,8.379000,-5.303000
2021-09-10,sz.000663,11.1500,11.4900,10.8900,11.1800,19576007,217926884.3300,3,6.391100,-0.622200
2021-09-17,sz.000663,11.1800,11.1800,10.3100,10.9600,16784108,181397389.7100,3,5.479700,-1.967800
2021-09-24,sz.000663,10.9600,12.0600,9.8800,9.9000,51665859,568762665.6000,3,16.867800,-9.671500
2021-09-30,sz.000663,9.6100,11.0800,9.3000,10.1400,43528196,451718423.9200,3,14.211100,2.424200
2021-10-08,sz.000663,10.1800,11.1400,10.1300,10.8000,9646605,103484011.8800,3,3.149400,6.508900
2021-10-15,sz.000663,10.8500,12.3000,10.7600,10.9900,49575000,570341182.2200,3,16.185200,1.759300
2021-10-22,sz.000663,11.0000,11.3800,10.3200,10.9300,27369292,297512842.9900,3,8.935600,-0.546000
2021-10-29,sz.000663,11.2100,11.5600,9.8400,10.1900,44674828,474709110.9300,3,14.585500,-6.770400
2021-11-05,sz.000663,10.1900,10.2200,9.4600,9.8200,24528041,242250445.4300,3,8.007800,-3.631000
2021-11-12,sz.000663,9.8000,10.0800,9.5300,9.7500,15093039,147387287.3000,3,4.927500,-0.712800
2021-11-19,sz.000663,9.7800,10.2500,9.2900,9.3300,23023645,223782843.6700,3,7.516700,-4.307700
2021-11-26,sz.000663,9.3400,10.1400,9.1300,9.4200,21295163,204155919.7300,3,6.952500,0.964600
2021-12-03,sz.000663,9.3000,11.1000,9.2600,9.5000,95106920,959760644.7500,3,31.050500,0.849300
2021-12-10,sz.000663,9.4200,9.8000,9.1600,9.6000,30341522,285122202.3000,3,9.905800,1.052600
2021-12-17,sz.000663,9.5700,9.6800,9.2600,9.2800,20350166,190862831.8700,3,6.643900,-3.333300
2021-12-24,sz.000663,9.2800,9.4800,9.0000,9.1600,14861400,137336850.6300,3,4.852000,-1.293100
2021-12-31,sz.000663,9.1600,9.7400,9.0900,9.1800,22595451,212085211.7300,3,7.376900,0.218300
2022-01-07,sz.000663,9.2300,9.6500,9.0500,9.1100,24366128,225931081.2500,3,7.955100,-0.762500
2022-01-14,sz.000663,9.1200,9.1400,8.5400,8.6100,24766538,218078746.5100,3,8.085600,-5.488500
2022-01-21,sz.000663,8.6000,8.6300,7.8200,7.9000,23364297,190490077.7100,3,7.627900,-8.246200
2022-01-28,sz.000663,7.9500,8.0300,7.2000,7.5800,17604040,132391571.4600,3,5.747400,-4.050600
2022-02-11,sz.000663,7.6000,8.0200,7.5600,7.7100,13343502,104870220.5800,3,4.356400,1.715000
2022-02-18,sz.000663,7.7600,8.0100,7.4800,7.8200,17115406,132100170.9800,3,5.587800,1.426700
2022-02-25,sz.000663,7.8200,8.4800,7.6000,8.1600,26699500,213002874.0000,3,8.716900,4.347800
2022-03-04,sz.000663,8.1200,8.2600,7.8600,8.0500,18448577,148423813.0000,3,6.023100,-1.348000
2022-03-11,sz.000663,8.1000,8.1000,7.1700,7.6200,13274462,101774605.0000,3,4.333900,-5.341600
2022-03-18,sz.000663,7.4900,7.6600,6.5700,7.1200,15052056,105944837.8800,3,4.914100,-6.561700
2022-03-25,sz.000663,7.0900,7.3500,6.9800,7.2000,14759865,106077202.2200,3,4.818800,1.123600
2022-04-01,sz.000663,7.1500,7.2900,7.0100,7.1900,12963402,92469323.2200,3,4.232200,-0.138900
2022-04-08,sz.000663,7.1800,7.3500,6.8400,6.9400,8577002,61246884.4800,3,2.800300,-3.477100
2022-04-15,sz.000663,6.9400,7.3000,6.5800,6.7200,12968952,89244377.7700,3,4.234000,-3.170000
2022-04-22,sz.000663,6.6700,7.0400,6.3100,6.4000,11159334,74454797.8600,3,3.643200,-4.761900
2022-04-29,sz.000663,6.4300,6.4300,5.1000,5.4800,23604837,128722761.4500,3,7.706600,-14.375000
2022-05-06,sz.000663,5.7000,5.8000,5.4400,5.6700,8048972,45447577.8000,3,2.627900,3.467200
2022-05-13,sz.000663,5.6100,6.4000,5.6100,6.2000,30571999,187801149.2600,3,9.981100,9.347400
2022-05-20,sz.000663,6.2000,7.6700,6.2000,7.2200,46654584,321037083.5100,3,15.231800,16.451600
2022-05-27,sz.000663,7.0000,7.3400,6.6600,7.2400,55842099,391301660.5100,3,18.231300,0.277000
2022-06-02,sz.000663,7.2500,7.9200,7.1800,7.3300,80884447,615118593.7400,3,26.407100,1.243100
2022-06-10,sz.000663,7.2900,7.3900,6.8500,7.0300,35317633,252241382.8900,3,11.530600,-4.092800
2022-06-17,sz.000663,6.9400,7.3300,6.8000,6.9700,31318890,219818249.1500,3,10.225000,-0.853500
2022-06-24,sz.000663,6.9400,7.1600,6.8400,7.0200,18911339,132906515.1600,3,6.174100,0.717400
2022-07-01,sz.000663,7.0400,7.1600,6.8400,6.9800,20012690,140493818.1200,3,6.533800,-0.569800
2022-07-08,sz.000663,6.9800,7.2300,6.8800,6.9500,19401947,136807884.7400,3,6.334400,-0.429800
2022-07-15,sz.000663,6.9500,8.0400,6.8900,8.0400,36815911,271804865.0000,3,12.019700,15.683500
2022-07-22,sz.000663,8.7400,9.5900,8.4200,9.0500,115834218,1039679201.5400,3,37.817500,12.562200
2022-07-29,sz.000663,9.1300,10.1500,9.0600,9.8000,105728745,1022043054.4300,3,34.518300,8.287300
2022-08-05,sz.000663,9.6000,9.7200,8.8800,9.0000,67481343,623816537.5500,3,22.031300,-8.163300
2022-08-12,sz.000663,9.0100,9.5300,8.9300,9.3700,44672272,410556474.5000,3,14.584600,4.111100
2022-08-19,sz.000663,9.3900,9.7800,9.1400,9.4200,37134377,350685741.5200,3,12.123600,0.533600
