date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2024-12-02,sz.002661,9.8000,10.0700,9.7300,9.9800,9.8600,8912103,88724784.2500,3,2.760700,1,1.217000,0
2024-12-03,sz.002661,9.9800,10.0000,9.8300,9.9000,9.9800,5427500,53696118.0000,3,1.681300,1,-0.801600,0
2024-12-04,sz.002661,9.8200,9.9900,9.6900,9.8000,9.9000,5794500,57131792.0000,3,1.795000,1,-1.010100,0
2024-12-05,sz.002661,9.8000,9.8000,9.6400,9.7500,9.8000,4154000,40445850.0000,3,1.286800,1,-0.510200,0
2024-12-06,sz.002661,9.7700,9.9100,9.7200,9.8500,9.7500,4842500,47486685.0000,3,1.500100,1,1.025600,0
2024-12-09,sz.002661,9.8400,9.9400,9.7300,9.8900,9.8500,5705900,56097036.0000,3,1.767500,1,0.406100,0
2024-12-10,sz.002661,10.1500,10.5000,10.0400,10.2500,9.8900,22462299,231222882.7500,3,6.958300,1,3.640000,0
2024-12-11,sz.002661,10.1000,10.6600,10.0100,10.5400,10.2500,23137987,241208069.4100,3,7.167600,1,2.829300,0
2024-12-12,sz.002661,10.6000,11.5900,10.4200,11.5900,10.5400,35481192,391285110.2400,3,10.991200,1,9.962000,0
2024-12-13,sz.002661,11.4900,12.1700,11.1300,11.3300,11.5900,48106460,554528081.8400,3,14.902200,1,-2.243300,0
2024-12-16,sz.002661,11.1200,11.3800,10.9500,11.0200,11.3300,29448855,328404137.3300,3,9.122500,1,-2.736100,0
2024-12-17,sz.002661,11.0300,11.0700,10.3800,10.3800,11.0200,20418629,215747079.2400,3,6.325200,1,-5.807600,0
2024-12-18,sz.002661,10.4200,10.5400,10.2000,10.2900,10.3800,10064947,103578423.2000,3,3.117900,1,-0.867100,0
2024-12-19,sz.002661,10.2100,10.2900,9.9900,10.1200,10.2900,10069332,101642898.1700,3,3.119200,1,-1.652100,0
2024-12-20,sz.002661,10.1400,10.3500,10.1100,10.1600,10.1200,8510100,87068285.3400,3,2.636200,1,0.395300,0
2024-12-23,sz.002661,10.1600,10.1800,9.7000,9.7500,10.1600,8813583,87160673.9800,3,2.730200,1,-4.035400,0
2024-12-24,sz.002661,9.7400,9.9000,9.6800,9.8600,9.7500,5143066,50412982.8000,3,1.593200,1,1.128200,0
2024-12-25,sz.002661,9.8500,9.8800,9.5300,9.7600,9.8600,6786566,65653317.6400,3,2.102300,1,-1.014200,0
2024-12-26,sz.002661,9.7600,10.2000,9.7100,9.9400,9.7600,10751759,106528585.6100,3,3.330600,1,1.844300,0
2024-12-27,sz.002661,9.9000,10.2800,9.8600,10.2300,9.9400,10230110,103442234.1000,3,3.169000,1,2.917500,0
2024-12-30,sz.002661,10.1600,10.1800,9.9100,10.0800,10.2300,6117200,61445650.0000,3,1.895000,1,-1.466300,0
2024-12-31,sz.002661,10.0400,10.2800,10.0400,10.0600,10.0800,7341800,74603904.0000,3,2.274300,1,-0.198400,0
2025-01-02,sz.002661,10.0500,10.3900,10.0200,10.1300,10.0600,11833555,120995825.9500,3,3.665700,1,0.695800,0
2025-01-03,sz.002661,10.2000,10.2700,9.5900,9.6300,10.1300,11298866,111073658.9800,3,3.500100,1,-4.935800,0
2025-01-06,sz.002661,9.5800,9.7100,9.2200,9.5500,9.6300,7046700,67079429.0000,3,2.182900,1,-0.830700,0
2025-01-07,sz.002661,9.6400,9.7700,9.5100,9.7600,9.5500,4754397,45961496.2600,3,1.472800,1,2.199000,0
2025-01-08,sz.002661,9.7700,9.9400,9.5900,9.8700,9.7600,5702800,55794191.0000,3,1.766600,1,1.127000,0
2025-01-09,sz.002661,9.9500,10.2000,9.8600,9.8600,9.8700,5558099,55577789.9500,3,1.721800,1,-0.101300,0
2025-01-10,sz.002661,9.8900,9.9900,9.6900,9.7300,9.8600,5298603,52042033.4900,3,1.641400,1,-1.318500,0
2025-01-13,sz.002661,9.7400,9.8600,9.4300,9.8600,9.7300,4434300,42838443.0000,3,1.373600,1,1.336100,0
2025-01-14,sz.002661,9.9000,10.0600,9.8600,10.0600,9.8600,7740299,77203154.4800,3,2.397800,1,2.028400,0
2025-01-15,sz.002661,9.9900,10.3000,9.9600,10.1400,10.0600,9088000,92096476.0000,3,2.815200,1,0.795200,0
2025-01-16,sz.002661,10.1000,10.2100,9.8800,9.9900,10.1400,7516399,75542407.0700,3,2.328400,1,-1.479300,0
2025-01-17,sz.002661,9.8900,10.0400,9.7900,10.0200,9.9900,4628700,46136208.0000,3,1.433900,1,0.300300,0
2025-01-20,sz.002661,10.0500,10.4500,9.9200,10.2600,10.0200,9445399,96686433.7500,3,2.925900,1,2.395200,0
2025-01-21,sz.002661,10.2600,10.4100,10.1100,10.3200,10.2600,9051093,92548882.9400,3,2.803800,1,0.584800,0
2025-01-22,sz.002661,10.2100,10.2400,9.8800,9.9600,10.3200,9275222,92980730.5300,3,2.873200,1,-3.488400,0
2025-01-23,sz.002661,9.9900,10.1200,9.7000,9.7900,9.9600,11968334,118807061.6700,3,3.707500,1,-1.706800,0
2025-01-24,sz.002661,9.7300,9.8200,9.5800,9.7800,9.7900,7122006,68992284.7900,3,2.206200,1,-0.102100,0
2025-01-27,sz.002661,9.8500,10.0200,9.7000,9.7000,9.7800,4959000,48940251.6500,3,1.536200,1,-0.818000,0
2025-02-05,sz.002661,9.8000,9.8300,9.6000,9.7000,9.7000,5669800,54855211.0000,3,1.756400,1,0.000000,0
2025-02-06,sz.002661,9.6600,9.7300,9.5200,9.7000,9.7000,5471500,52704922.0000,3,1.694900,1,0.000000,0
2025-02-07,sz.002661,9.6500,9.8400,9.6100,9.7500,9.7000,6189900,60310634.0000,3,1.917500,1,0.515500,0
2025-02-10,sz.002661,9.7500,10.0200,9.7300,9.9900,9.7500,6729600,66333105.0000,3,2.084700,1,2.461500,0
2025-02-11,sz.002661,10.0000,10.1000,9.9000,10.0000,9.9900,5552966,55456380.3400,3,1.720200,1,0.100100,0
