date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2015-11-30,sz.300003,39.0000,43.5600,37.9300,41.2000,147498809,6053169120.0000,3,21.497940,3.491585
2015-12-31,sz.300003,41.1500,42.2800,37.0000,38.6000,101916029,4016220920.0000,3,14.854253,-6.310680
2016-01-29,sz.300003,38.3000,38.3900,29.0000,30.6300,63220091,2081722760.0000,3,9.214323,-20.647668
2016-02-29,sz.300003,30.6300,34.9000,30.0100,30.7300,32746452,1079186306.0000,3,4.772793,0.326477
2016-03-31,sz.300003,30.9900,38.2000,30.0100,37.0900,117710219,4119058968.0000,3,17.156255,20.696388
2016-04-29,sz.300003,37.4000,38.5200,33.0200,35.1000,76281694,2779906132.0000,3,11.118051,-5.365328
2016-05-31,sz.300003,35.1000,36.5100,33.0500,36.1000,49513830,1725067316.0000,3,7.216637,2.849003
2016-06-30,sz.300003,35.8600,37.3000,17.4600,18.2400,94403149,2497105864.0000,3,10.099237,1.500015
2016-07-29,sz.300003,18.1500,19.4900,17.8800,18.4900,150998454,2813693488.0000,3,11.005209,1.370614
2016-08-31,sz.300003,18.4700,20.2700,18.1200,18.9400,124954301,2363584816.0000,3,9.107035,2.433748
2016-09-30,sz.300003,18.8900,19.3000,18.1100,18.5100,67959475,1269895048.0000,3,4.953085,-2.270327
2016-10-31,sz.300003,18.6800,19.4900,18.2200,18.5500,87949693,1662582288.0000,3,6.410031,0.216099
2016-11-30,sz.300003,18.5500,18.9800,18.1000,18.7300,129363707,2397793900.0000,3,9.428406,0.970350
2016-12-30,sz.300003,18.8300,19.2800,17.5100,17.9300,120138748,2217309784.0000,3,8.756064,-4.271223
2017-01-26,sz.300003,17.8800,18.1300,16.3500,17.0400,69110245,1189411908.0000,3,4.908566,-4.963748
2017-02-28,sz.300003,17.0800,17.4200,16.6900,17.0100,85417289,1457115224.0000,3,6.041403,-0.176056
2017-03-31,sz.300003,17.0400,17.7400,17.0000,17.3300,135389958,2343761464.0000,3,9.575876,1.881246
2017-04-28,sz.300003,17.3300,18.8600,17.3200,18.2600,118495375,2165034451.0000,3,8.380954,5.366417
2017-05-31,sz.300003,18.3800,20.5500,18.2000,19.7100,160155542,3096341367.0000,3,11.327499,7.940854
2017-06-30,sz.300003,19.6000,22.3400,19.1400,22.1100,175929833,3644223727.0000,3,12.444002,12.717692
2017-07-31,sz.300003,22.2300,22.5400,19.7900,20.6200,153682378,3261950281.0000,3,10.886612,-6.739032
2017-08-31,sz.300003,20.5500,22.8600,20.2600,22.4400,138640174,3011648567.0000,3,9.821047,8.826382
2017-09-29,sz.300003,22.5400,23.6500,20.5000,21.4900,195295787,4282590567.5600,3,13.834439,-4.233512
2017-10-31,sz.300003,21.7700,24.0500,21.6200,23.6500,167916792,3847258653.3400,3,11.894955,10.051187
2017-11-30,sz.300003,23.5200,25.1400,21.1100,21.7600,275437469,6472567824.4700,3,19.511547,-7.991543
2017-12-29,sz.300003,21.8600,25.3700,21.6700,24.1600,184563172,4421616090.0200,3,13.074158,11.029412
2018-01-31,sz.300003,24.5000,27.6600,23.1400,26.1000,278828161,7111741918.1400,3,19.751738,8.029801
2018-02-28,sz.300003,26.1000,27.9400,24.0100,27.6700,163700900,4251357090.4500,3,11.596800,6.015326
2018-03-30,sz.300003,27.6900,34.2000,27.3000,33.7200,351706981,10984001483.3700,3,24.915548,21.864836
2018-04-27,sz.300003,33.7200,38.9100,30.7500,36.9000,251673299,8546238913.2200,3,17.828984,9.430605
2018-05-31,sz.300003,37.6400,41.6900,36.3000,39.8000,263484357,10121426245.3800,3,19.452048,7.859079
2018-06-29,sz.300003,39.9000,40.1700,32.2000,36.6800,279040238,10057757566.0200,3,19.767706,-7.493626
2018-07-31,sz.300003,36.6700,39.7400,33.3000,34.5100,316711511,11497259102.8700,3,22.436406,-5.916031
2018-08-31,sz.300003,34.5000,35.3600,29.6600,31.4500,333960443,10956970060.8300,3,23.733593,-8.866995
2018-09-28,sz.300003,31.4200,34.1400,27.0000,30.3500,332214579,10044580605.4600,3,23.609519,-3.497615
2018-10-31,sz.300003,29.6000,30.1500,25.5000,28.6600,246218434,6938984360.1400,3,17.498024,-5.568369
2018-11-30,sz.300003,28.8500,32.7000,28.7200,31.3000,352843962,10820360559.0100,3,25.075589,9.211445
